grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,1,1,60060,1,0,4.108,5153,5157.11
100,1,1,60060,1,1,3.667,5144,5147.67
100,1,1,60060,1,2,5.23,5146,5151.23
100,1,1,60060,1,3,3.828,5148,5151.83
100,1,1,60060,1,4,3.567,5143,5146.57
100,1,1,60060,1,5,3.767,5274,5277.77
100,1,1,60060,1,6,47.631,5417,5464.63
100,1,1,60060,1,7,53.141,5506,5559.14
100,1,1,60060,1,8,19.157,5374,5393.16
100,1,1,60060,1,9,40.307,5468,5508.31
100,1,1,60060,1,10,42.301,5475,5517.3
100,1,1,60060,1,11,28.325,5451,5479.32
100,1,1,60060,1,12,35.157,5554,5589.16
100,1,1,60060,1,13,36.539,5624,5660.54
100,1,1,60060,1,14,51.447,5488,5539.45
100,1,1,60060,1,15,23.144,6172,6195.14
100,1,1,60060,1,16,109.788,5431,5540.79
100,1,1,60060,1,17,29.266,5380,5409.27
100,1,1,60060,1,18,29.626,5226,5255.63
100,1,1,60060,1,19,9.618,5159,5168.62
100,1,1,60060,1,20,10.6,5145,5155.6
100,1,1,60060,1,21,4.418,5157,5161.42
100,1,1,60060,1,22,4.969,5147,5151.97
100,1,1,60060,1,23,4.689,5157,5161.69
100,1,1,60060,1,24,6.001,5157,5163
100,1,1,60060,1,25,6.262,5145,5151.26
100,1,1,60060,1,26,4.939,5153,5157.94
100,1,1,60060,1,27,5.851,5149,5154.85
100,1,1,60060,1,28,4.78,5146,5150.78
100,1,1,60060,1,29,5.921,5141,5146.92
100,1,1,60060,1,30,5.901,5144,5149.9
100,1,1,60060,1,31,5.942,5147,5152.94
100,1,1,60060,1,32,6.272,5153,5159.27
100,1,1,60060,1,33,6.031,5152,5158.03
100,1,1,60060,1,34,5.791,5154,5159.79
100,1,1,60060,1,35,9.809,5170,5179.81
100,1,1,60060,1,36,9.569,5164,5173.57
100,1,1,60060,1,37,8.477,5178,5186.48
100,1,1,60060,1,38,9.387,5163,5172.39
100,1,1,60060,1,39,7.976,5168,5175.98
100,1,1,60060,1,40,8.386,5173,5181.39
100,1,1,60060,1,41,8.136,5175,5183.14
100,1,1,60060,1,42,8.145,5162,5170.15
100,1,1,60060,1,43,8.096,5173,5181.1
100,1,1,60060,1,44,9.237,5165,5174.24
100,1,1,60060,1,45,9.639,5166,5175.64
100,1,1,60060,1,46,8.687,5163,5171.69
100,1,1,60060,1,47,9.688,5163,5172.69
100,1,1,60060,1,48,7.675,5172,5179.68
100,1,1,60060,1,49,8.837,5180,5188.84
100,1,1,60060,1,50,8.837,5158,5166.84
100,1,1,60060,1,51,8.506,5156,5164.51
100,1,1,60060,1,52,6.792,5155,5161.79
100,1,1,60060,1,53,6.844,5158,5164.84
100,1,1,60060,1,54,6.592,5154,5160.59
100,1,1,60060,1,55,6.943,5159,5165.94
100,1,1,60060,1,56,6.352,5151,5157.35
100,1,1,60060,1,57,6.773,5150,5156.77
100,1,1,60060,1,58,6.593,5151,5157.59
100,1,1,60060,1,59,6.292,5154,5160.29
100,1,1,60060,1,60,6.593,5154,5160.59
100,1,1,60060,1,61,6.492,5153,5159.49
100,1,1,60060,1,62,6.913,5149,5155.91
100,1,1,60060,1,63,7.274,5152,5159.27
100,1,1,60060,1,64,6.171,5144,5150.17
100,1,1,60060,1,65,6.352,5146,5152.35
100,1,1,60060,1,66,7.003,5146,5153
100,1,1,60060,1,67,6.652,5148,5154.65
100,1,1,60060,1,68,6.592,5150,5156.59
100,1,1,60060,1,69,4.218,5138,5142.22
100,1,1,60060,1,70,4.919,5162,5166.92
100,1,1,60060,1,71,6.693,5159,5165.69
100,1,1,60060,1,72,7.023,5158,5165.02
100,1,1,60060,1,73,6.743,5152,5158.74
100,1,1,60060,1,74,6.462,5178,5184.46
100,1,1,60060,1,75,5.791,5146,5151.79
100,1,1,60060,1,76,4.799,5153,5157.8
100,1,1,60060,1,77,5.15,5142,5147.15
100,1,1,60060,1,78,5.14,5149,5154.14
100,1,1,60060,1,79,4.319,5144,5148.32
100,1,1,60060,1,80,4.789,5141,5145.79
100,1,1,60060,1,81,4.939,5144,5148.94
100,1,1,60060,1,82,3.987,5147,5150.99
100,1,1,60060,1,83,5.09,5142,5147.09
100,1,1,60060,1,84,4.899,5151,5155.9
100,1,1,60060,1,85,4.589,5142,5146.59
100,1,1,60060,1,86,4.749,5149,5153.75
100,1,1,60060,1,87,4.088,5142,5146.09
100,1,1,60060,1,88,4.989,5151,5155.99
100,1,1,60060,1,89,5.24,5143,5148.24
100,1,1,60060,1,90,4.018,5146,5150.02
100,1,1,60060,1,91,5.049,5146,5151.05
100,1,1,60060,1,92,4.759,5153,5157.76
100,1,1,60060,1,93,4.99,5143,5147.99
100,1,1,60060,1,94,5.129,5145,5150.13
100,1,1,60060,1,95,3.927,5141,5144.93
100,1,1,60060,1,96,4.939,5447,5451.94
100,1,1,60060,1,97,57.85,5435,5492.85
100,1,1,60060,1,98,36.319,5407,5443.32
100,1,1,60060,1,99,44.835,5383,5427.84
args: -sizex=100 -iters=60060 -batch=100 -bsize=1
