grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,5210.82
150,1,1,1,5207.31
200,1,1,1,5195.8
500,1,1,1,5375.85
1000,1,1,1,6040.42
2000,1,1,1,6483.3
5000,1,1,1,7707.67
10000,1,1,1,9820.77
20000,1,1,1,15707.14
30000,1,1,1,21758.5
100,1,1,10,607.7
150,1,1,10,625.58
200,1,1,10,645.14
500,1,1,10,729.97
1000,1,1,10,981.74
2000,1,1,10,1573.51
5000,1,1,10,3420.15
10000,1,1,10,6494.37
20000,1,1,10,12649.7
30000,1,1,10,18805.6
100,1,1,20,325.63
150,1,1,20,347.88
200,1,1,20,361.02
500,1,1,20,475.68
1000,1,1,20,782.49
2000,1,1,20,1417.62
5000,1,1,20,3245.97
10000,1,1,20,6320.81
20000,1,1,20,12474.233333333332
30000,1,1,20,18626.3
100,1,1,50,159.88
150,1,1,50,178.44
200,1,1,50,199.01
500,1,1,50,372.35
1000,1,1,50,687.3900000000001
2000,1,1,50,1306.5900000000001
5000,1,1,50,3142.51
10000,1,1,50,6216.969999999999
20000,1,1,50,12374.4
30000,1,1,50,18528.7
100,1,1,100,103.84
150,1,1,100,131.21
200,1,1,100,161.53
500,1,1,100,344.03
1000,1,1,100,654.55
2000,1,1,100,1272.78
5000,1,1,100,3107.18
10000,1,1,100,6183.77
20000,1,1,100,12337.8
30000,1,1,100,18487.4
100,1,1,200,86.34
150,1,1,200,115.905
200,1,1,200,146.555
500,1,1,200,330.17
1000,1,1,200,639.785
2000,1,1,200,1253.83
5000,1,1,200,3089.78
10000,1,1,200,6166.91
20000,1,1,200,12320.8
30000,1,1,200,18467.9
