grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,1,1,60060,1,0,2.9817,633.3,636.282
100,1,1,60060,1,1,3.685,631.3,634.985
100,1,1,60060,1,2,3.6269,632.2,635.827
100,1,1,60060,1,3,2.8946,631.7,634.595
100,1,1,60060,1,4,3.5998,631.4,635
100,1,1,60060,1,5,3.6409,631.4,635.041
100,1,1,60060,1,6,3.6109,632.1,635.711
100,1,1,60060,1,7,3.659,631.8,635.459
100,1,1,60060,1,8,3.684,631.5,635.184
100,1,1,60060,1,9,3.6439,631.5,635.144
args: -sizex=100 -iters=60060 -batch=10 -bsize=10
