grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,5377.74
150,1,1,1,5374.84
200,1,1,1,5396.6
500,1,1,1,5570.61
1000,1,1,1,5965.46
2000,1,1,1,7176.85
5000,1,1,1,8415.04
10000,1,1,1,10690.26
20000,1,1,1,14314.08
30000,1,1,1,20647.7
100,1,1,10,631.8199999999999
150,1,1,10,664.99
200,1,1,10,679.7499999999999
500,1,1,10,769.2
1000,1,1,10,1069.23
2000,1,1,10,1427.67
100,1,1,20,343.15999999999997
150,1,1,20,357.58000000000004
200,1,1,20,382.77
500,1,1,20,490.18999999999994
1000,1,1,20,712.1800000000001
100,1,1,50,170.39
150,1,1,50,196.97
200,1,1,50,204.36
500,1,1,50,346.39
100,1,1,100,107.09
150,1,1,100,129.46
200,1,1,100,152.24
100,1,1,200,81.585
150,1,1,200,106.8
