grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,1,1,60000,1,0,4.659,3165,3169.66
100,1,1,60000,1,1,3.777,3126,3129.78
100,1,1,60000,1,2,5.52,3128,3133.52
100,1,1,60000,1,3,6.342,3135,3141.34
100,1,1,60000,1,4,5.201,3102,3107.2
100,1,1,60000,1,5,6.803,3103,3109.8
100,1,1,60000,1,6,6.663,3111,3117.66
100,1,1,60000,1,7,6.753,3105,3111.75
100,1,1,60000,1,8,6.834,3116,3122.83
100,1,1,60000,1,9,6.763,3115,3121.76
100,1,1,60000,1,10,6.953,3100,3106.95
100,1,1,60000,1,11,6.773,3128,3134.77
100,1,1,60000,1,12,6.853,3112,3118.85
100,1,1,60000,1,13,6.763,3107,3113.76
100,1,1,60000,1,14,6.933,3101,3107.93
100,1,1,60000,1,15,6.804,3110,3116.8
100,1,1,60000,1,16,6.773,3101,3107.77
100,1,1,60000,1,17,9.769,3108,3117.77
100,1,1,60000,1,18,6.763,3110,3116.76
100,1,1,60000,1,19,6.753,3071,3077.75
100,1,1,60000,1,20,6.883,3070,3076.88
100,1,1,60000,1,21,6.873,3086,3092.87
100,1,1,60000,1,22,6.833,3068,3074.83
100,1,1,60000,1,23,6.844,3068,3074.84
100,1,1,60000,1,24,6.833,3075,3081.83
100,1,1,60000,1,25,6.874,3069,3075.87
100,1,1,60000,1,26,6.653,3069,3075.65
100,1,1,60000,1,27,6.783,3073,3079.78
100,1,1,60000,1,28,6.703,3068,3074.7
100,1,1,60000,1,29,7.364,3072,3079.36
100,1,1,60000,1,30,7.094,3072,3079.09
100,1,1,60000,1,31,6.833,3074,3080.83
100,1,1,60000,1,32,6.703,3069,3075.7
100,1,1,60000,1,33,6.733,3070,3076.73
100,1,1,60000,1,34,6.893,3068,3074.89
100,1,1,60000,1,35,6.733,3068,3074.73
100,1,1,60000,1,36,7.184,3069,3076.18
100,1,1,60000,1,37,9.248,3066,3075.25
100,1,1,60000,1,38,6.834,3067,3073.83
100,1,1,60000,1,39,6.814,3070,3076.81
100,1,1,60000,1,40,6.954,3067,3073.95
100,1,1,60000,1,41,6.903,3067,3073.9
100,1,1,60000,1,42,6.733,3069,3075.73
100,1,1,60000,1,43,6.753,3074,3080.75
100,1,1,60000,1,44,6.763,3067,3073.76
100,1,1,60000,1,45,6.784,3074,3080.78
100,1,1,60000,1,46,6.793,3070,3076.79
100,1,1,60000,1,47,6.713,3076,3082.71
100,1,1,60000,1,48,6.844,3075,3081.84
100,1,1,60000,1,49,6.913,3068,3074.91
100,1,1,60000,1,50,6.663,3066,3072.66
100,1,1,60000,1,51,8.025,3067,3075.03
100,1,1,60000,1,52,6.783,3066,3072.78
100,1,1,60000,1,53,6.753,3067,3073.75
100,1,1,60000,1,54,6.783,3069,3075.78
100,1,1,60000,1,55,6.743,3065,3071.74
100,1,1,60000,1,56,6.863,3069,3075.86
100,1,1,60000,1,57,6.693,3073,3079.69
100,1,1,60000,1,58,7.053,3075,3082.05
100,1,1,60000,1,59,6.763,3069,3075.76
100,1,1,60000,1,60,6.883,3068,3074.88
100,1,1,60000,1,61,6.703,3065,3071.7
100,1,1,60000,1,62,11.041,3066,3077.04
100,1,1,60000,1,63,8.707,3072,3080.71
100,1,1,60000,1,64,6.733,3068,3074.73
100,1,1,60000,1,65,6.773,3068,3074.77
100,1,1,60000,1,66,6.774,3085,3091.77
100,1,1,60000,1,67,6.873,3068,3074.87
100,1,1,60000,1,68,6.903,3067,3073.9
100,1,1,60000,1,69,6.803,3072,3078.8
100,1,1,60000,1,70,6.683,3068,3074.68
100,1,1,60000,1,71,6.753,3068,3074.75
100,1,1,60000,1,72,6.763,3072,3078.76
100,1,1,60000,1,73,6.793,3068,3074.79
100,1,1,60000,1,74,6.763,3069,3075.76
100,1,1,60000,1,75,6.823,3072,3078.82
100,1,1,60000,1,76,6.863,3069,3075.86
100,1,1,60000,1,77,6.723,3067,3073.72
100,1,1,60000,1,78,6.903,3075,3081.9
100,1,1,60000,1,79,6.713,3081,3087.71
100,1,1,60000,1,80,11.693,3075,3086.69
100,1,1,60000,1,81,6.963,3071,3077.96
100,1,1,60000,1,82,6.853,3068,3074.85
100,1,1,60000,1,83,6.713,3070,3076.71
100,1,1,60000,1,84,6.764,3073,3079.76
100,1,1,60000,1,85,6.743,3070,3076.74
100,1,1,60000,1,86,6.954,3067,3073.95
100,1,1,60000,1,87,6.802,3070,3076.8
100,1,1,60000,1,88,6.724,3070,3076.72
100,1,1,60000,1,89,6.784,3072,3078.78
100,1,1,60000,1,90,6.783,3069,3075.78
100,1,1,60000,1,91,6.703,3069,3075.7
100,1,1,60000,1,92,6.652,3074,3080.65
100,1,1,60000,1,93,6.763,3073,3079.76
100,1,1,60000,1,94,6.793,3071,3077.79
100,1,1,60000,1,95,6.783,3073,3079.78
100,1,1,60000,1,96,6.633,3076,3082.63
100,1,1,60000,1,97,6.762,3068,3074.76
100,1,1,60000,1,98,6.843,3073,3079.84
100,1,1,60000,1,99,6.784,3068,3074.78
args: -sizex=100 -iters=60000 -batch=100 -bsize=1
