Timestamp,Power (W)
1787568001977,34
1787568006976,42
1787568011976,42
1787568016976,42
1787568021477,42
1787568026478,42
1787568031479,42
1787568036478,42
1787568041478,42
1787568045978,42
1787568050978,42
1787568055979,42
1787568060978,42
1787568065981,42
1787568070980,42
1787568075480,42
1787568080481,42
1787568085481,42
1787568090482,42
1787568095481,42
1787568100480,42
Command: /home/x_thileeb/repos/ops-hls-batching-new/codegen_apps/batching/blackscholes/vck5000_datacopy_project/hls/build/hw/blackscholes_host /home/x_thileeb/repos/ops-hls-batching-new/codegen_apps/batching/blackscholes/vck5000_datacopy_project/hls/build/hw/blackscholes.xclbin -sizex=5000 -iters=60000 -piter=20000 -bsize=20
