File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 10000 Batches (kJ)
100_1_hls_power_profile.csv,100,1,1,1,10000,33.25,34503,1.1472247500000001,0.00011472247500000002,1.1472247500000001
100_10_hls_power_profile.csv,100,1,1,10,10000,36.0,5001,0.180036,1.80036e-05,0.18003600000000003
100_20_hls_power_profile.csv,100,1,1,20,20000,39.0,4998,0.19492199999999998,9.7461e-06,0.09746099999999999
100_50_hls_power_profile.csv,100,1,1,50,20000,38.5,4502,0.173327,8.66635e-06,0.0866635
100_100_hls_power_profile.csv,100,1,1,100,20000,34.0,5001,0.17003400000000002,8.5017e-06,0.08501700000000001
100_200_hls_power_profile.csv,100,1,1,200,20000,33.5,5001,0.1675335,8.376675e-06,0.08376675
150_1_hls_power_profile.csv,150,1,1,1,10000,33.5,34503,1.1558505000000001,0.00011558505000000002,1.1558505000000001
150_10_hls_power_profile.csv,150,1,1,10,10000,35.5,4999,0.1774645,1.774645e-05,0.1774645
150_20_hls_power_profile.csv,150,1,1,20,20000,35.333333333333336,10002,0.35340400000000005,1.7670200000000002e-05,0.17670200000000003
150_50_hls_power_profile.csv,150,1,1,50,20000,38.5,5001,0.1925385,9.626925e-06,0.09626924999999999
150_100_hls_power_profile.csv,150,1,1,100,20000,39.5,5000,0.1975,9.875000000000001e-06,0.09875000000000002
150_200_hls_power_profile.csv,150,1,1,200,20000,41.0,5001,0.20504100000000003,1.0252050000000001e-05,0.10252050000000001
200_1_hls_power_profile.csv,200,1,1,1,10000,33.875,34501,1.1687213749999998,0.00011687213749999998,1.1687213749999998
200_10_hls_power_profile.csv,200,1,1,10,10000,38.0,4500,0.171,1.7100000000000002e-05,0.171
200_20_hls_power_profile.csv,200,1,1,20,20000,35.0,10000,0.35,1.75e-05,0.175
200_50_hls_power_profile.csv,200,1,1,50,20000,39.5,5000,0.1975,9.875000000000001e-06,0.09875000000000002
200_100_hls_power_profile.csv,200,1,1,100,20000,47.0,4500,0.2115,1.0575e-05,0.10575
200_200_hls_power_profile.csv,200,1,1,200,20000,41.0,4999,0.20495899999999997,1.0247949999999999e-05,0.10247949999999999
500_1_hls_power_profile.csv,500,1,1,1,10000,34.75,34502,1.1989445,0.00011989445,1.1989445
500_10_hls_power_profile.csv,500,1,1,10,10000,36.666666666666664,10004,0.36681333333333327,3.6681333333333324e-05,0.3668133333333332
500_20_hls_power_profile.csv,500,1,1,20,20000,39.5,14502,0.572829,2.864145e-05,0.2864145
500_50_hls_power_profile.csv,500,1,1,50,20000,38.0,10001,0.38003799999999993,1.9001899999999995e-05,0.19001899999999994
500_100_hls_power_profile.csv,500,1,1,100,20000,42.333333333333336,10004,0.4235026666666667,2.1175133333333333e-05,0.21175133333333335
500_200_hls_power_profile.csv,500,1,1,200,20000,37.333333333333336,10000,0.37333333333333335,1.866666666666667e-05,0.18666666666666668
1000_1_hls_power_profile.csv,1000,1,1,1,10000,35.8,44001,1.5752357999999997,0.00015752357999999998,1.5752357999999997
1000_10_hls_power_profile.csv,1000,1,1,10,10000,38.25,14497,0.5545102500000001,5.545102500000001e-05,0.5545102500000001
1000_20_hls_power_profile.csv,1000,1,1,20,20000,42.6,20001,0.8520426000000001,4.2602130000000005e-05,0.42602130000000005
1000_50_hls_power_profile.csv,1000,1,1,50,20000,44.2,19500,0.8619000000000001,4.309500000000001e-05,0.43095000000000006
1000_100_hls_power_profile.csv,1000,1,1,100,20000,39.8,19501,0.7761398,3.880699e-05,0.3880699
1000_200_hls_power_profile.csv,1000,1,1,200,20000,38.8,19999,0.7759611999999998,3.879805999999999e-05,0.3879805999999999
2000_1_hls_power_profile.csv,2000,1,1,1,10000,35.61538461538461,59002,2.101378923076923,0.00021013789230769228,2.101378923076923
2000_10_hls_power_profile.csv,2000,1,1,10,10000,38.833333333333336,24501,0.9514555000000001,9.514555000000001e-05,0.9514555000000001
2000_20_hls_power_profile.csv,2000,1,1,20,20000,41.44444444444444,39001,1.6163747777777775,8.081873888888887e-05,0.8081873888888887
2000_50_hls_power_profile.csv,2000,1,1,50,20000,41.125,34503,1.4189358749999998,7.094679375e-05,0.7094679374999999
2000_100_hls_power_profile.csv,2000,1,1,100,20000,41.0,34499,1.4144590000000001,7.072295e-05,0.7072295000000001
2000_200_hls_power_profile.csv,2000,1,1,200,20000,39.333333333333336,39000,1.534,7.670000000000001e-05,0.7670000000000001
5000_1_hls_power_profile.csv,5000,1,1,1,10000,37.94117647058823,78504,2.978534117647059,0.0002978534117647059,2.978534117647059
5000_10_hls_power_profile.csv,5000,1,1,10,10000,42.7,44504,1.9003208,0.00019003208,1.9003208
5000_20_hls_power_profile.csv,5000,1,1,20,20000,41.61904761904762,98503,4.099601047619048,0.0002049800523809524,2.049800523809524
5000_50_hls_power_profile.csv,5000,1,1,50,20000,42.5,83503,3.5488775,0.000177443875,1.77443875
5000_100_hls_power_profile.csv,5000,1,1,100,20000,40.7,93502,3.8055314000000005,0.00019027657000000002,1.9027657000000002
5000_200_hls_power_profile.csv,5000,1,1,200,20000,40.63157894736842,88502,3.595976,0.0001797988,1.7979880000000001
10000_1_hls_power_profile.csv,10000,1,1,1,10000,40.56,118008,4.78640448,0.000478640448,4.78640448
