grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,3078.86
150,1,1,1,3096.91
200,1,1,1,3159.2
500,1,1,1,3426.69
1000,1,1,1,4490.34
2000,1,1,1,5592.69
5000,1,1,1,7896.38
10000,1,1,1,11976.04
20000,1,1,1,21154.52
30000,1,1,1,30877.95
100,1,1,10,489.88
150,1,1,10,525.2
200,1,1,10,557.07
500,1,1,10,741.3900000000001
1000,1,1,10,1203.35
2000,1,1,10,2123.8
5000,1,1,10,4501.01
10000,1,1,10,9863.95
20000,1,1,10,18149.700000000004
30000,1,1,10,28263.35
100,1,1,20,289.87
150,1,1,20,371.85
200,1,1,20,368.5199999999999
500,1,1,20,576.1
1000,1,1,20,1061.28
2000,1,1,20,1875.3799999999999
5000,1,1,20,4929.62
10000,1,1,20,9077.240000000002
20000,1,1,20,17197.933333333334
30000,1,1,20,25446.9
100,1,1,50,165.13
150,1,1,50,223.26
200,1,1,50,243.55
500,1,1,50,488.0
1000,1,1,50,947.59
2000,1,1,50,1777.32
5000,1,1,50,4204.62
10000,1,1,50,9175.69
20000,1,1,50,18794.1
30000,1,1,50,29800.2
100,1,1,100,128.26
150,1,1,100,175.24
200,1,1,100,212.16
500,1,1,100,473.91
1000,1,1,100,889.79
2000,1,1,100,1791.11
5000,1,1,100,4586.31
10000,1,1,100,8716.08
20000,1,1,100,17102.4
30000,1,1,100,24830.2
100,1,1,200,111.995
150,1,1,200,156.95
200,1,1,200,197.415
500,1,1,200,436.935
1000,1,1,200,896.395
2000,1,1,200,1842.78
5000,1,1,200,4364.61
10000,1,1,200,8584.41
20000,1,1,200,20062.5
30000,1,1,200,25674.4
