Timestamp,Power (W)
1757096638109,34
1757096643108,43
1757096648101,43
1757096652616,43
1757096657601,43
1757096662600,43
1757096667593,41
1757096672593,42
1757096677589,41
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_loopback_project/hls/build/hw/blackscholes_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_loopback_project/hls/build/hw/blackscholes.xclbin -sizex=1000 -iters=60000 -piter=50000 -bsize=10
