grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
1000,1,1,60000,1,0,25.0315,766.3,791.332
1000,1,1,60000,1,1,51.8115,765,816.812
1000,1,1,60000,1,2,35.0797,762.7,797.78
1000,1,1,60000,1,3,35.1598,762.8,797.96
1000,1,1,60000,1,4,35.1879,762.7,797.888
1000,1,1,60000,1,5,35.2129,762.8,798.013
1000,1,1,60000,1,6,32.3024,763,795.302
1000,1,1,60000,1,7,30.9308,762.7,793.631
1000,1,1,60000,1,8,31.055,762.5,793.555
1000,1,1,60000,1,9,31.2204,762.6,793.82
args: -sizex=1000 -iters=60000 -batch=10 -bsize=10
