File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 50 Batches (kJ)
30_30_30_1_hls_power_profile.csv,30,30,30,1,10,35.72070085714286,10159,0.36288660000771433,0.03628866000077143,1.8144330000385716
30_30_30_10_hls_power_profile.csv,30,30,30,10,20,42.4128444,1168,0.04953820225919999,0.0024769101129599996,0.12384550564799998
30_30_30_50_hls_power_profile.csv,30,30,30,50,100,42.619791,2824,0.120358289784,0.00120358289784,0.060179144892
50_50_50_1_hls_power_profile.csv,50,50,50,1,10,39.7331283,2448,0.0972666980784,0.00972666980784,0.486333490392
50_50_50_10_hls_power_profile.csv,50,50,50,10,20,41.89385518181819,2810,0.11772173306090912,0.005886086653045456,0.2943043326522728
50_50_50_50_hls_power_profile.csv,50,50,50,50,100,50.201376609756096,10576,0.5309297590247806,0.005309297590247806,0.2654648795123903
100_100_100_1_hls_power_profile.csv,100,100,100,1,10,42.35044915384614,10037,0.42507145815715375,0.04250714581571537,2.1253572907857685
100_100_100_10_hls_power_profile.csv,100,100,100,10,20,46.54205960714286,14623,0.6805845376352501,0.034029226881762506,1.7014613440881252
100_100_100_50_hls_power_profile.csv,100,100,100,50,100,47.537750828793776,66348,3.154034691988809,0.03154034691988809,1.5770173459944046
150_150_150_1_hls_power_profile.csv,150,150,150,1,10,44.04317805714286,27160,1.1962127160320002,0.11962127160320002,5.981063580160001
150_150_150_10_hls_power_profile.csv,150,150,150,10,20,46.932426987951814,43360,2.0349900341975906,0.10174950170987954,5.087475085493977
200_200_200_1_hls_power_profile.csv,200,200,200,1,5,45.406794285714284,29248,1.3280579192685713,0.26561158385371425,13.280579192685712
250_250_250_1_hls_power_profile.csv,250,250,250,1,5,46.45155086407768,53721,2.495423763969117,0.4990847527938234,24.954237639691172
300_300_300_1_hls_power_profile.csv,300,300,300,1,5,46.13573496774194,88905,4.101697517307096,0.8203395034614193,41.01697517307096
