Timestamp,Power (W)
1757104544629,41
1757104549605,40
1757104554121,39
1757104559113,39
1757104564124,40
1757104569101,39
1757104574110,40
1757104579137,40
1757104583609,39
1757104588613,40
1757104593617,39
1757104598605,40
1757104603620,41
1757104608629,40
1757104613129,40
1757104618121,40
1757104623121,39
1757104628144,41
1757104633114,39
1757104638137,40
1757104642625,40
1757104647625,40
1757104652613,40
1757104657613,40
1757104662605,40
1757104667620,40
1757104672113,39
1757104677109,39
1757104682129,39
1757104687113,40
1757104692113,39
1757104697105,41
1757104701613,39
1757104706613,39
1757104711609,41
1757104716622,41
1757104721609,32
1757104726621,39
1757104731119,41
1757104736113,39
1757104741105,40
1757104746113,40
1757104751117,39
1757104756105,39
1757104760617,41
1757104765609,40
1757104770617,40
1757104775613,40
1757104780621,40
1757104785625,39
1757104790105,40
1757104795119,39
1757104800109,31
1757104805137,39
1757104810113,40
1757104815105,40
1757104819625,40
1757104824613,40
1757104829625,39
1757104834625,39
1757104839621,40
1757104844614,39
1757104849109,39
1757104854120,41
1757104859115,39
1757104864105,39
1757104869125,41
1757104874105,40
1757104878625,40
1757104883605,40
1757104888613,40
1757104893614,40
1757104898605,39
1757104903625,40
1757104908105,39
1757104913105,39
1757104918109,40
1757104923127,39
1757104928121,39
1757104933105,40
1757104937625,40
1757104942605,39
1757104947617,40
1757104952609,40
1757104957613,40
1757104962621,39
1757104967105,39
1757104972126,40
1757104977105,39
1757104982113,39
1757104987111,40
1757104992129,39
1757104996617,39
1757105001621,40
1757105006621,39
1757105011624,31
1757105016622,40
1757105021613,40
1757105026113,41
1757105031117,40
1757105036106,41
1757105041125,41
1757105046129,40
1757105051111,39
1757105055613,40
1757105060605,40
1757105065629,39
1757105070613,40
1757105075613,40
1757105080614,40
1757105085105,40
1757105090109,31
1757105095113,40
1757105100105,40
1757105105109,40
1757105110113,40
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/heat3d/vck5000_project/hls/build/hw/heat3d_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/heat3d/vck5000_project/hls/build/hw/heat3d.xclbin -sizex=50 -sizey=50 -sizez=50 -iters=60044 -piter=4000 -bsize=50
