grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,100,1,60012,1,0,376.616,42726,43102.6
200,100,1,60012,1,1,313.386,42657,42970.4
200,100,1,60012,1,2,313.916,42666,42979.9
200,100,1,60012,1,3,310.65,42666,42976.7
200,100,1,60012,1,4,311.171,42671,42982.2
200,100,1,60012,1,5,311.191,42676,42987.2
200,100,1,60012,1,6,314.177,42689,43003.2
200,100,1,60012,1,7,312.334,42677,42989.3
200,100,1,60012,1,8,311.321,42673,42984.3
200,100,1,60012,1,9,311.573,42662,42973.6
200,100,1,60012,1,10,312.394,42684,42996.4
200,100,1,60012,1,11,314.568,42702,43016.6
200,100,1,60012,1,12,319.407,42670,42989.4
200,100,1,60012,1,13,311.192,42671,42982.2
200,100,1,60012,1,14,312.664,42664,42976.7
200,100,1,60012,1,15,311.142,42686,42997.1
200,100,1,60012,1,16,312.594,42672,42984.6
200,100,1,60012,1,17,312.935,42672,42984.9
200,100,1,60012,1,18,312.575,42669,42981.6
200,100,1,60012,1,19,311.973,42672,42984
200,100,1,60012,1,20,314.037,42678,42992
200,100,1,60012,1,21,312.664,42672,42984.7
200,100,1,60012,1,22,312.354,42685,42997.4
200,100,1,60012,1,23,311.563,42689,43000.6
200,100,1,60012,1,24,311.742,42674,42985.7
200,100,1,60012,1,25,315.239,42686,43001.2
200,100,1,60012,1,26,315.279,42674,42989.3
200,100,1,60012,1,27,310.891,42678,42988.9
200,100,1,60012,1,28,314.006,42671,42985
200,100,1,60012,1,29,311.192,42674,42985.2
200,100,1,60012,1,30,312.084,42668,42980.1
200,100,1,60012,1,31,311.933,42683,42994.9
200,100,1,60012,1,32,313.987,42692,43006
200,100,1,60012,1,33,313.846,42672,42985.8
200,100,1,60012,1,34,312.203,42671,42983.2
200,100,1,60012,1,35,312.615,42696,43008.6
200,100,1,60012,1,36,318.205,42668,42986.2
200,100,1,60012,1,37,427.362,42662,43089.4
200,100,1,60012,1,38,316.091,42682,42998.1
200,100,1,60012,1,39,311.472,42670,42981.5
200,100,1,60012,1,40,312.164,42674,42986.2
200,100,1,60012,1,41,311.331,42673,42984.3
200,100,1,60012,1,42,313.335,42657,42970.3
200,100,1,60012,1,43,311.262,42670,42981.3
200,100,1,60012,1,44,310.981,42696,43007
200,100,1,60012,1,45,312.474,42679,42991.5
200,100,1,60012,1,46,312.233,42685,42997.2
200,100,1,60012,1,47,312.294,42699,43011.3
200,100,1,60012,1,48,314.528,42673,42987.5
200,100,1,60012,1,49,315.46,42684,42999.5
200,100,1,60012,1,50,319.457,42674,42993.5
200,100,1,60012,1,51,312.584,42672,42984.6
200,100,1,60012,1,52,311.944,42685,42996.9
200,100,1,60012,1,53,311.482,42671,42982.5
200,100,1,60012,1,54,310.761,42687,42997.8
200,100,1,60012,1,55,315.299,42673,42988.3
200,100,1,60012,1,56,312.244,42687,42999.2
200,100,1,60012,1,57,310.971,42675,42986
200,100,1,60012,1,58,311.943,42685,42996.9
200,100,1,60012,1,59,311.212,42674,42985.2
200,100,1,60012,1,60,310.661,42672,42982.7
200,100,1,60012,1,61,313.225,42686,42999.2
200,100,1,60012,1,62,311.272,42671,42982.3
200,100,1,60012,1,63,315.209,42678,42993.2
200,100,1,60012,1,64,311.291,42685,42996.3
200,100,1,60012,1,65,312.535,42673,42985.5
200,100,1,60012,1,66,311.361,42689,43000.4
200,100,1,60012,1,67,311.532,42678,42989.5
200,100,1,60012,1,68,312.223,42690,43002.2
200,100,1,60012,1,69,312.283,42684,42996.3
200,100,1,60012,1,70,315.9,42670,42985.9
200,100,1,60012,1,71,311.502,42689,43000.5
200,100,1,60012,1,72,311.402,42689,43000.4
200,100,1,60012,1,73,312.744,42684,42996.7
200,100,1,60012,1,74,311.913,42664,42975.9
200,100,1,60012,1,75,314.047,42678,42992
200,100,1,60012,1,76,311.843,42675,42986.8
200,100,1,60012,1,77,314.147,42671,42985.1
200,100,1,60012,1,78,311.232,42671,42982.2
200,100,1,60012,1,79,311.443,42671,42982.4
200,100,1,60012,1,80,319.267,42666,42985.3
200,100,1,60012,1,81,312.594,42663,42975.6
200,100,1,60012,1,82,315.49,42671,42986.5
200,100,1,60012,1,83,311.763,42678,42989.8
200,100,1,60012,1,84,312.834,42669,42981.8
200,100,1,60012,1,85,315.37,42669,42984.4
200,100,1,60012,1,86,312.134,42668,42980.1
200,100,1,60012,1,87,312.374,42664,42976.4
200,100,1,60012,1,88,320.669,42661,42981.7
200,100,1,60012,1,89,311.442,42668,42979.4
200,100,1,60012,1,90,311.633,42667,42978.6
200,100,1,60012,1,91,311.672,42668,42979.7
200,100,1,60012,1,92,314.748,42663,42977.7
200,100,1,60012,1,93,312.604,42671,42983.6
200,100,1,60012,1,94,311.532,42668,42979.5
200,100,1,60012,1,95,313.585,42674,42987.6
200,100,1,60012,1,96,312.684,42669,42981.7
200,100,1,60012,1,97,313.115,42665,42978.1
200,100,1,60012,1,98,383.188,42666,43049.2
200,100,1,60012,1,99,314.668,42669,42983.7
args: -sizex=200 -sizey=100 -iters=60012 -batch=100 -bsize=1
