grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,400,1,60012,1,0,2491.2,246581,249072
400,400,1,60012,1,1,2489.21,246540,249029
400,400,1,60012,1,2,2488.74,246539,249028
400,400,1,60012,1,3,2493.3,246545,249038
400,400,1,60012,1,4,2482.5,246555,249037
400,400,1,60012,1,5,2506.59,246540,249047
400,400,1,60012,1,6,2493.76,246543,249037
400,400,1,60012,1,7,2488.54,246543,249032
400,400,1,60012,1,8,2488.98,246539,249028
400,400,1,60012,1,9,2496.73,246540,249037
400,400,1,60012,1,10,2497.32,246542,249039
400,400,1,60012,1,11,2492.35,246542,249034
400,400,1,60012,1,12,2490.82,246539,249030
400,400,1,60012,1,13,2495.11,246540,249035
400,400,1,60012,1,14,2497.18,246547,249044
400,400,1,60012,1,15,2507.18,246544,249051
400,400,1,60012,1,16,2487.61,246543,249031
400,400,1,60012,1,17,2512.72,246539,249052
400,400,1,60012,1,18,2481.36,246543,249024
400,400,1,60012,1,19,2490.85,246544,249035
args: -sizex=400 -sizey=400 -iters=60012 -batch=20 -bsize=1
