File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 1000 Batches (kJ)
30_30_1_hls_power_profile.csv,30,30,1,1,1000,32.666666666666664,9997,0.3265686666666666,0.0003265686666666666,0.3265686666666666
30_30_10_hls_power_profile.csv,30,30,1,10,1000,31.0,4972,0.154132,0.000154132,0.154132
30_30_20_hls_power_profile.csv,30,30,1,20,1000,31.0,4984,0.154504,0.000154504,0.154504
30_30_50_hls_power_profile.csv,30,30,1,50,1000,31.0,5004,0.15512399999999998,0.00015512399999999997,0.15512399999999998
60_60_1_hls_power_profile.csv,60,60,1,1,1000,37.0,9500,0.3515,0.0003515,0.3515
60_60_10_hls_power_profile.csv,60,60,1,10,1000,41.0,4988,0.20450800000000002,0.00020450800000000003,0.20450800000000002
60_60_20_hls_power_profile.csv,60,60,1,20,1000,41.0,4460,0.18286,0.00018286,0.18286
100_100_1_hls_power_profile.csv,100,100,1,1,500,35.25,15004,0.528891,0.001057782,1.057782
100_100_10_hls_power_profile.csv,100,100,1,10,500,38.0,9976,0.37908800000000004,0.000758176,0.7581760000000001
200_100_1_hls_power_profile.csv,200,100,1,1,500,35.8,20016,0.7165727999999999,0.0014331455999999998,1.4331455999999998
200_200_1_hls_power_profile.csv,200,200,1,1,500,37.25,34008,1.266798,0.0025335960000000004,2.533596
300_150_1_hls_power_profile.csv,300,150,1,1,250,36.6,19480,0.712968,0.002851872,2.851872
300_300_1_hls_power_profile.csv,300,300,1,1,100,35.5,15000,0.5325,0.005325,5.325
400_200_1_hls_power_profile.csv,400,200,1,1,100,34.0,14504,0.49313599999999996,0.004931359999999999,4.931359999999999
400_300_1_hls_power_profile.csv,400,300,1,1,100,35.8,19496,0.6979567999999999,0.006979567999999999,6.9795679999999996
400_400_1_hls_power_profile.csv,400,400,1,1,100,36.0,24505,0.88218,0.0088218,8.8218
