grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60048,1,0,2635.1,253146,255781
50,50,50,60048,1,1,2502.34,253097,255599
50,50,50,60048,1,2,2497.96,253142,255640
50,50,50,60048,1,3,2594.3,253068,255662
50,50,50,60048,1,4,2602.33,253153,255755
50,50,50,60048,1,5,2758.69,253067,255826
50,50,50,60048,1,6,2736.72,253141,255878
50,50,50,60048,1,7,2651.22,253067,255718
50,50,50,60048,1,8,2488.52,253146,255635
50,50,50,60048,1,9,3107.21,253074,256181
args: -sizex=50 -sizey=50 -sizez=50 -iters=60048 -batch=10 -bsize=1
