grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,100,100,60016,1,0,16036.5,1.61909e+06,1.63513e+06
100,100,100,60016,1,1,16243.1,1.61924e+06,1.63548e+06
100,100,100,60016,1,2,16121.1,1.6191e+06,1.63523e+06
100,100,100,60016,1,3,15901,1.61921e+06,1.63511e+06
100,100,100,60016,1,4,15855.9,1.61909e+06,1.63495e+06
100,100,100,60016,1,5,15898.2,1.61927e+06,1.63517e+06
100,100,100,60016,1,6,15907.1,1.61916e+06,1.63507e+06
100,100,100,60016,1,7,15860.6,1.61917e+06,1.63503e+06
100,100,100,60016,1,8,15897,1.61904e+06,1.63494e+06
100,100,100,60016,1,9,15811.9,1.61922e+06,1.63503e+06
args: -sizex=100 -sizey=100 -sizez=100 -iters=60016 -batch=10 -bsize=1
