Timestamp,Power (W)
1757184326744,31
1757184331743,43
1757184336242,37
1757184341242,44
1757184346241,45
1757184351242,44
1757184356243,44
1757184361242,31
1757184365741,39
1757184370744,44
1757184375742,41
1757184380742,39
1757184385748,42
1757184390741,43
1757184395241,44
1757184400242,45
1757184405242,45
1757184410242,45
1757184415242,43
1757184420245,45
1757184424745,45
1757184429744,45
1757184434744,45
1757184439745,45
1757184444745,45
1757184449251,45
1757184454244,38
1757184459244,45
1757184464243,45
1757184469244,42
1757184474245,45
1757184478744,40
1757184483745,45
1757184488745,45
1757184493745,45
1757184498744,45
1757184503745,45
1757184508244,45
1757184513250,40
1757184518244,43
1757184523244,45
1757184528245,45
1757184533244,45
1757184537744,45
1757184542744,45
1757184547745,45
1757184552744,45
1757184557745,41
1757184562744,45
1757184567245,45
1757184572245,45
1757184577251,45
1757184582244,45
1757184587244,44
1757184592245,38
1757184596744,45
1757184601744,45
1757184606744,45
1757184611744,45
1757184616745,45
1757184621744,45
1757184626245,45
1757184631245,41
1757184636245,45
1757184641252,42
1757184646244,38
1757184650745,45
1757184655744,45
1757184660745,44
1757184665744,45
1757184670744,45
1757184675745,44
1757184680245,38
1757184685244,45
1757184690244,44
1757184695245,45
1757184700244,38
1757184704760,45
1757184709745,41
1757184714744,45
1757184719744,45
1757184724745,38
1757184729745,44
1757184734245,45
1757184739245,45
1757184744244,32
1757184749244,39
1757184754245,43
1757184758744,43
1757184763745,44
1757184768750,45
1757184773744,45
1757184778744,45
1757184783745,40
1757184788244,45
1757184793244,43
1757184798244,44
1757184803245,42
1757184808244,44
1757184813244,42
1757184817744,44
1757184822745,45
1757184827745,45
1757184832750,37
1757184837745,45
1757184842743,43
1757184847244,45
1757184852244,45
1757184857244,44
1757184862244,44
1757184867245,45
1757184872245,45
1757184876745,45
1757184881745,45
1757184886744,45
1757184891745,45
1757184896751,45
1757184901744,45
1757184906245,39
1757184911244,45
1757184916245,45
1757184921245,45
1757184926244,45
1757184931245,45
1757184935745,45
1757184940744,38
1757184945744,45
1757184950744,45
1757184955745,45
1757184960250,45
1757184965245,42
1757184970245,46
1757184975245,45
1757184980245,45
1757184985245,45
1757184989745,45
1757184994745,44
1757184999745,39
1757185004744,45
1757185009744,44
1757185014244,45
1757185019285,45
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian3d/vck5000_project/hls/build/hw/jac3D7pt_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian3d/vck5000_project/hls/build/hw/jac3D7pt.xclbin -sizex=300 -sizey=300 -sizez=300 -iters=60016 -piter=20 -bsize=1
