grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,100,1,60102,1,0,654.39,4634.1,5288.49
100,100,1,60102,1,1,685.975,4633.3,5319.28
100,100,1,60102,1,2,644.93,4633.6,5278.53
100,100,1,60102,1,3,699.74,4633.6,5333.34
100,100,1,60102,1,4,748.817,4635.4,5384.22
100,100,1,60102,1,5,725.072,4633.8,5358.87
100,100,1,60102,1,6,700.038,4633.6,5333.64
100,100,1,60102,1,7,673.257,4633.6,5306.86
100,100,1,60102,1,8,659.349,4634.2,5293.55
100,100,1,60102,1,9,665.282,4633.4,5298.68
args: -sizex=100 -sizey=100 -iters=60102 -batch=10 -bsize=10
