File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 1000 Batches (kJ)
30_30_1_hls_power_profile.csv,30,30,1,1,1000,35.81034270909091,17473,0.6257141181559455,0.0006257141181559455,0.6257141181559455
30_30_10_hls_power_profile.csv,30,30,1,10,1000,48.505885,2080,0.10089224079999999,0.00010089224079999998,0.10089224079999999
30_30_20_hls_power_profile.csv,30,30,1,20,1000,51.27749,1828,0.09373525172000001,9.373525172000001e-05,0.09373525172000001
30_30_50_hls_power_profile.csv,30,30,1,50,10000,67.1110857777778,7545,0.5063531421933335,5.063531421933335e-05,0.05063531421933335
30_30_100_hls_power_profile.csv,30,30,1,100,1000,66.123021625,1388,0.0917787540155,9.17787540155e-05,0.0917787540155
60_60_1_hls_power_profile.csv,60,60,1,1,1000,40.201083914285725,11792,0.4740511815172572,0.00047405118151725724,0.4740511815172572
60_60_10_hls_power_profile.csv,60,60,1,10,1000,58.1387974,3456,0.20092768381440002,0.0002009276838144,0.20092768381440002
60_60_20_hls_power_profile.csv,60,60,1,20,1000,51.8952867,2769,0.1436980488723,0.0001436980488723,0.1436980488723
60_60_50_hls_power_profile.csv,60,60,1,50,1000,55.02630693333334,2601,0.1431234243336,0.00014312342433360001,0.1431234243336
60_60_100_hls_power_profile.csv,60,60,1,100,1000,54.471805800000006,2600,0.14162669508000003,0.00014162669508000004,0.14162669508000003
100_100_1_hls_power_profile.csv,100,100,1,1,500,47.18417466666667,8129,0.3835601558653333,0.0007671203117306666,0.7671203117306666
100_100_10_hls_power_profile.csv,100,100,1,10,500,60.15516735,3514,0.21138525806789998,0.00042277051613579994,0.42277051613579997
100_100_20_hls_power_profile.csv,100,100,1,20,500,65.93180609999999,3346,0.22060782321059996,0.00044121564642119994,0.4412156464211999
100_100_50_hls_power_profile.csv,100,100,1,50,500,71.5261230526316,3185,0.22781070192263167,0.00045562140384526335,0.45562140384526334
100_100_100_hls_power_profile.csv,100,100,1,100,500,69.8212218,2819,0.1968260242542,0.0003936520485084,0.3936520485084
200_100_1_hls_power_profile.csv,200,100,1,1,500,53.15613298550724,11720,0.622989878590145,0.00124597975718029,1.24597975718029
200_100_10_hls_power_profile.csv,200,100,1,10,500,69.45156428125,5224,0.36281497180525,0.0007256299436105001,0.7256299436105
200_100_20_hls_power_profile.csv,200,100,1,20,500,73.55929033333332,5012,0.36867916315066657,0.0007373583263013331,0.7373583263013331
200_100_50_hls_power_profile.csv,200,100,1,50,500,70.38580966666665,5061,0.3562225827229999,0.0007124451654459998,0.7124451654459998
200_100_100_hls_power_profile.csv,200,100,1,100,500,77.88295255555555,4851,0.37781020284699995,0.0007556204056939999,0.7556204056939999
200_200_1_hls_power_profile.csv,200,200,1,1,500,64.81506483870966,15613,1.011957607326774,0.002023915214653548,2.023915214653548
200_200_10_hls_power_profile.csv,200,200,1,10,500,77.70188437931031,9569,0.7435293316256204,0.001487058663251241,1.4870586632512408
200_200_20_hls_power_profile.csv,200,200,1,20,500,82.02016488679246,8948,0.733916435407019,0.001467832870814038,1.467832870814038
200_200_50_hls_power_profile.csv,200,200,1,50,500,81.88284212727271,8768,0.7179487597719272,0.0014358975195438543,1.4358975195438544
200_200_100_hls_power_profile.csv,200,200,1,100,500,81.19049907547169,8741,0.709686152418698,0.0014193723048373961,1.419372304837396
300_150_1_hls_power_profile.csv,300,150,1,1,250,58.812062451612896,9189,0.5404240418678709,0.0021616961674714836,2.1616961674714834
300_150_10_hls_power_profile.csv,300,150,1,10,250,79.32223002941177,5578,0.4424593991040589,0.0017698375964162356,1.7698375964162356
300_150_20_hls_power_profile.csv,300,150,1,20,250,80.08787674999999,716,0.05734291975299999,0.00022937167901199994,0.22937167901199995
300_150_50_hls_power_profile.csv,300,150,1,50,250,74.04096975,5321,0.39397200003975,0.001575888000159,1.575888000159
300_150_100_hls_power_profile.csv,300,150,1,100,250,73.21673425,755,0.05527863435875,0.000221114537435,0.221114537435
300_300_1_hls_power_profile.csv,300,300,1,1,100,61.57245720000001,5758,0.35453420855760004,0.0035453420855760002,3.5453420855760003
300_300_10_hls_power_profile.csv,300,300,1,10,100,65.55682974074074,4536,0.29736577970399997,0.0029736577970399997,2.9736577970399996
300_300_20_hls_power_profile.csv,300,300,1,20,100,63.794241600000014,3940,0.25134931190400006,0.0025134931190400004,2.5134931190400005
300_300_50_hls_power_profile.csv,300,300,1,50,100,74.42596438461538,4288,0.31913853528123076,0.0031913853528123077,3.1913853528123077
300_300_100_hls_power_profile.csv,300,300,1,100,100,67.14302556,3963,0.26608781029428,0.0026608781029428003,2.6608781029428004
