grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,7787.73
60,60,1,1,10029.18
100,100,1,1,13470.41
200,100,1,1,19119.25
200,200,1,1,25377.53
300,150,1,1,29025.15
300,300,1,1,43255.2
30,30,1,10,1162.48
60,60,1,10,2184.37
100,100,1,10,4633.86
200,100,1,10,7914.74
200,200,1,10,14357.98
300,150,1,10,15920.900000000001
300,300,1,10,30043.6
30,30,1,20,779.4799999999999
60,60,1,20,1751.39
100,100,1,20,4134.92
200,100,1,20,7309.2
200,200,1,20,13748.5
300,150,1,20,15195.3
300,300,1,20,29290.8
30,30,1,50,550.71
60,60,1,50,1496.0
100,100,1,50,3840.5699999999997
200,100,1,50,6946.219999999999
200,200,1,50,13374.5
300,150,1,50,14748.5
300,300,1,50,28848.4
30,30,1,100,476.55
60,60,1,100,1406.97
100,100,1,100,3739.52
200,100,1,100,6822.16
200,200,1,100,13251.2
300,150,1,100,14601.6
300,300,1,100,28701.3
