grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,300,1,60102,1,0,7283.56,33562,40845.6
300,300,1,60102,1,1,6192.93,33546,39738.9
300,300,1,60102,1,2,6387.5,33574,39961.5
300,300,1,60102,1,3,5677.71,33557,39234.7
300,300,1,60102,1,4,5700.85,33553,39253.9
300,300,1,60102,1,5,5702.52,33560,39262.5
300,300,1,60102,1,6,5690.73,33559,39249.7
300,300,1,60102,1,7,5693.62,33547,39240.6
300,300,1,60102,1,8,5682.58,33563,39245.6
300,300,1,60102,1,9,5705.72,33565,39270.7
300,300,1,60102,1,10,5706.77,33558,39264.8
300,300,1,60102,1,11,7215.61,33551,40766.6
300,300,1,60102,1,12,7093.63,33552,40645.6
300,300,1,60102,1,13,6984.91,33563,40547.9
300,300,1,60102,1,14,7067.04,33559,40626
300,300,1,60102,1,15,7790.99,33560,41351
300,300,1,60102,1,16,7162.93,33559,40721.9
300,300,1,60102,1,17,7441.73,33557,40998.7
300,300,1,60102,1,18,6878.02,33551,40429
300,300,1,60102,1,19,7142.33,33555,40697.3
args: -sizex=300 -sizey=300 -iters=60102 -batch=20 -bsize=1
