File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 1000 Batches (kJ)
30_30_1_hls_power_profile.csv,30,30,1,1,1000,36.137302,17827,0.644219682754,0.000644219682754,0.644219682754
30_30_10_hls_power_profile.csv,30,30,1,10,1000,46.285333666666666,1534,0.07100170184466667,7.100170184466667e-05,0.07100170184466667
30_30_20_hls_power_profile.csv,30,30,1,20,1000,58.035004125,1540,0.0893739063525,8.937390635250001e-05,0.0893739063525
30_30_50_hls_power_profile.csv,30,30,1,50,1000,61.59810557142857,1309,0.080631920193,8.0631920193e-05,0.080631920193
60_60_1_hls_power_profile.csv,60,60,1,1,1000,42.11266439285714,9421,0.3967434112451071,0.0003967434112451071,0.3967434112451071
60_60_10_hls_power_profile.csv,60,60,1,10,1000,51.8417373125,2729,0.1414761011258125,0.0001414761011258125,0.1414761011258125
60_60_20_hls_power_profile.csv,60,60,1,20,1000,53.492566866666685,2651,0.14180879476353336,0.00014180879476353335,0.14180879476353336
100_100_1_hls_power_profile.csv,100,100,1,1,500,52.00684679999999,5937,0.3087646494515999,0.0006175292989031998,0.6175292989031999
100_100_10_hls_power_profile.csv,100,100,1,10,500,61.96378033333334,3089,0.19140611744966668,0.00038281223489933334,0.38281223489933336
200_100_1_hls_power_profile.csv,200,100,1,1,500,60.18978731914893,7945,0.4782078602506383,0.0009564157205012765,0.9564157205012765
200_200_1_hls_power_profile.csv,200,200,1,1,500,70.02351770000001,11761,0.8235465916697001,0.0016470931833394002,1.6470931833394002
300_150_1_hls_power_profile.csv,300,150,1,1,250,68.93719827499999,6609,0.45560594339947486,0.0018224237735978994,1.8224237735978994
300_300_1_hls_power_profile.csv,300,300,1,1,100,71.10677724137929,4881,0.34707217971517235,0.0034707217971517235,3.4707217971517235
