Timestamp,Power (W)
1757198733821,34
1757198738805,33
1757198743809,33
1757198748340,51
1757198753333,51
1757198758325,50
1757198763330,51
1757198768325,51
1757198773325,51
1757198777825,51
1757198782817,51
1757198787825,51
1757198792816,51
1757198797805,50
1757198802825,51
1757198807325,51
1757198812325,51
1757198817333,51
1757198822317,34
1757198827319,51
1757198832325,51
1757198836817,51
1757198841825,51
1757198846833,34
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/poisson2d/vck5000_datacopy_project/hls/build/hw/poisson2d_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/poisson2d/vck5000_datacopy_project/hls/build/hw/poisson2d.xclbin -sizex=200 -sizey=200 -iters=60060 -piter=5000 -bsize=20
