grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,150,1,60060,1,0,2557.17,32395,34952.2
300,150,1,60060,1,1,2490.78,32324,34814.8
300,150,1,60060,1,2,2485.09,32319,34804.1
300,150,1,60060,1,3,2508.85,32328,34836.8
300,150,1,60060,1,4,2489.19,32314,34803.2
300,150,1,60060,1,5,2489.01,32355,34844
300,150,1,60060,1,6,2481.37,32320,34801.4
300,150,1,60060,1,7,2483.3,32321,34804.3
300,150,1,60060,1,8,2481.4,32321,34802.4
300,150,1,60060,1,9,2493.91,32329,34822.9
300,150,1,60060,1,10,2505.32,32328,34833.3
300,150,1,60060,1,11,2501.67,32333,34834.7
300,150,1,60060,1,12,2499.49,32333,34832.5
300,150,1,60060,1,13,2488.56,32344,34832.6
300,150,1,60060,1,14,2479.49,32331,34810.5
300,150,1,60060,1,15,2482.71,32330,34812.7
300,150,1,60060,1,16,2483.41,32329,34812.4
300,150,1,60060,1,17,2480.79,32334,34814.8
300,150,1,60060,1,18,2490.61,32318,34808.6
300,150,1,60060,1,19,2478.7,32333,34811.7
args: -sizex=300 -sizey=150 -iters=60060 -batch=20 -bsize=1
