grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,4391.22
60,60,1,1,7088.62
100,100,1,1,11686.54
200,100,1,1,18552.33
200,200,1,1,28013.71
300,150,1,1,32331.95
300,300,1,1,53159.15
400,200,1,1,52350.45
400,300,1,1,71349.6
400,400,1,1,90215.1
30,30,1,10,910.0
60,60,1,10,2372.01
100,100,1,10,5903.83
200,100,1,10,10640.179999999998
200,200,1,10,20104.17
300,150,1,10,22304.7
300,300,1,10,43170.55
400,200,1,10,39889.7
400,300,1,10,58930.05
400,400,1,10,77723.3
30,30,1,20,715.7
60,60,1,20,2108.65
100,100,1,20,5596.58
200,100,1,20,10222.26
200,200,1,20,19706.8
300,150,1,20,21754.2
300,300,1,20,42626.0
400,200,1,20,39149.3
400,300,1,20,58181.3
400,400,1,20,77272.6
30,30,1,50,599.13
60,60,1,50,1973.79
100,100,1,50,5411.64
200,100,1,50,9959.29
200,200,1,50,19451.55
300,150,1,50,21427.8
300,300,1,50,42288.7
400,200,1,50,38819.8
400,300,1,50,57838.5
400,400,1,50,76608.0
30,30,1,100,560.12
60,60,1,100,1921.86
100,100,1,100,5350.89
200,100,1,100,9873.79
200,200,1,100,19366.7
300,150,1,100,21310.2
300,300,1,100,42180.2
400,200,1,100,38676.0
400,300,1,100,57529.9
400,400,1,100,76722.7
