grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,200,1,60060,1,0,2216.53,26756,28972.5
200,200,1,60060,1,1,2208.56,26677,28885.6
200,200,1,60060,1,2,2204.87,26671,28875.9
200,200,1,60060,1,3,2196.9,26678,28874.9
200,200,1,60060,1,4,2214.97,26682,28897
200,200,1,60060,1,5,2197.12,26681,28878.1
200,200,1,60060,1,6,2221.68,26683,28904.7
200,200,1,60060,1,7,2193.64,26679,28872.6
200,200,1,60060,1,8,2197.88,26678,28875.9
200,200,1,60060,1,9,2197.52,26683,28880.5
200,200,1,60060,1,10,2201.82,26673,28874.8
200,200,1,60060,1,11,2195.21,26669,28864.2
200,200,1,60060,1,12,2202.18,26682,28884.2
200,200,1,60060,1,13,2202.25,26681,28883.2
200,200,1,60060,1,14,2194.47,26682,28876.5
200,200,1,60060,1,15,2202.54,26671,28873.5
200,200,1,60060,1,16,2385.12,26681,29066.1
200,200,1,60060,1,17,2201.13,26684,28885.1
200,200,1,60060,1,18,2196.11,26686,28882.1
200,200,1,60060,1,19,2197.25,26685,28882.2
200,200,1,60060,1,20,2195.36,26680,28875.4
200,200,1,60060,1,21,2196.96,26693,28890
200,200,1,60060,1,22,2199.83,26680,28879.8
200,200,1,60060,1,23,2195.76,26684,28879.8
200,200,1,60060,1,24,2207.38,26674,28881.4
200,200,1,60060,1,25,2195.7,26684,28879.7
200,200,1,60060,1,26,2199.5,26686,28885.5
200,200,1,60060,1,27,2197.41,26682,28879.4
200,200,1,60060,1,28,2203.18,26683,28886.2
200,200,1,60060,1,29,2196.43,26684,28880.4
200,200,1,60060,1,30,2199.79,26682,28881.8
200,200,1,60060,1,31,2203.25,26686,28889.2
200,200,1,60060,1,32,2198.4,26673,28871.4
200,200,1,60060,1,33,2198.92,26646,28844.9
200,200,1,60060,1,34,2194.17,26681,28875.2
200,200,1,60060,1,35,2198.28,26651,28849.3
200,200,1,60060,1,36,2195.93,26677,28872.9
200,200,1,60060,1,37,2202.86,26670,28872.9
200,200,1,60060,1,38,2202.65,26667,28869.6
200,200,1,60060,1,39,2197.52,26646,28843.5
200,200,1,60060,1,40,2296.8,26692,28988.8
200,200,1,60060,1,41,2205.42,26664,28869.4
200,200,1,60060,1,42,2199.56,26642,28841.6
200,200,1,60060,1,43,2205.82,26658,28863.8
200,200,1,60060,1,44,2205.02,26669,28874
200,200,1,60060,1,45,2194.74,26644,28838.7
200,200,1,60060,1,46,2203.13,26642,28845.1
200,200,1,60060,1,47,2194.11,26637,28831.1
200,200,1,60060,1,48,2200.37,26680,28880.4
200,200,1,60060,1,49,2196.47,26684,28880.5
200,200,1,60060,1,50,2198.61,26682,28880.6
200,200,1,60060,1,51,2203.22,26675,28878.2
200,200,1,60060,1,52,2212.57,26683,28895.6
200,200,1,60060,1,53,2198.2,26663,28861.2
200,200,1,60060,1,54,2200.44,26675,28875.4
200,200,1,60060,1,55,2201.23,26657,28858.2
200,200,1,60060,1,56,2195.08,26679,28874.1
200,200,1,60060,1,57,2201.47,26680,28881.5
200,200,1,60060,1,58,2195.16,26685,28880.2
200,200,1,60060,1,59,2199.98,26678,28878
200,200,1,60060,1,60,2199.46,26680,28879.5
200,200,1,60060,1,61,2196.04,26682,28878
200,200,1,60060,1,62,2199.48,26676,28875.5
200,200,1,60060,1,63,2197.59,26681,28878.6
200,200,1,60060,1,64,2200.85,26668,28868.9
200,200,1,60060,1,65,2195.18,26666,28861.2
200,200,1,60060,1,66,2201.85,26649,28850.8
200,200,1,60060,1,67,2201.16,26679,28880.2
200,200,1,60060,1,68,2203.39,26684,28887.4
200,200,1,60060,1,69,2194.76,26673,28867.8
200,200,1,60060,1,70,2203.43,26683,28886.4
200,200,1,60060,1,71,2198.8,26679,28877.8
200,200,1,60060,1,72,2196.59,26687,28883.6
200,200,1,60060,1,73,2210.07,26697,28907.1
200,200,1,60060,1,74,2202.73,26675,28877.7
200,200,1,60060,1,75,2201.18,26682,28883.2
200,200,1,60060,1,76,2195.54,26661,28856.5
200,200,1,60060,1,77,2201.39,26675,28876.4
200,200,1,60060,1,78,2196.14,26664,28860.1
200,200,1,60060,1,79,2203.11,26676,28879.1
200,200,1,60060,1,80,2198.7,26681,28879.7
200,200,1,60060,1,81,2201.39,26671,28872.4
200,200,1,60060,1,82,2197.81,26654,28851.8
200,200,1,60060,1,83,2197.98,26655,28853
200,200,1,60060,1,84,2198.61,26659,28857.6
200,200,1,60060,1,85,2195.45,26650,28845.5
200,200,1,60060,1,86,2207.65,26654,28861.6
200,200,1,60060,1,87,2196.28,26681,28877.3
200,200,1,60060,1,88,2198.19,26692,28890.2
200,200,1,60060,1,89,2193.76,26676,28869.8
200,200,1,60060,1,90,2200.43,26670,28870.4
200,200,1,60060,1,91,2200.81,26679,28879.8
200,200,1,60060,1,92,2200.84,26674,28874.8
200,200,1,60060,1,93,2200.12,26673,28873.1
200,200,1,60060,1,94,2193.86,26675,28868.9
200,200,1,60060,1,95,2203.07,26684,28887.1
200,200,1,60060,1,96,2195.26,26683,28878.3
200,200,1,60060,1,97,2199.53,26671,28870.5
200,200,1,60060,1,98,2196.46,26680,28876.5
200,200,1,60060,1,99,2197.89,26685,28882.9
args: -sizex=200 -sizey=200 -iters=60060 -batch=100 -bsize=1
