grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,30,1800,1,0,2760.16,109245,112005
50,50,30,1800,1,1,2733.03,109446,112179
50,50,30,1800,1,2,2739.32,109495,112234
50,50,30,1800,1,3,2734.41,109254,111988
50,50,30,1800,1,4,2722.3,109447,112169
50,50,30,1800,1,5,2730.51,109327,112058
50,50,30,1800,1,6,2731.06,109251,111982
50,50,30,1800,1,7,2718.61,109498,112217
50,50,30,1800,1,8,2925.52,109400,112326
50,50,30,1800,1,9,2789.88,109459,112249
50,50,30,1800,1,10,2724.33,109174,111898
50,50,30,1800,1,11,2734.56,109255,111990
50,50,30,1800,1,12,2732.84,109389,112122
50,50,30,1800,1,13,2717.28,109591,112308
50,50,30,1800,1,14,2726.76,109496,112223
50,50,30,1800,1,15,2724.22,109579,112303
50,50,30,1800,1,16,2728.36,109115,111843
50,50,30,1800,1,17,2729.74,109267,111997
50,50,30,1800,1,18,2741.04,109226,111967
50,50,30,1800,1,19,2738.98,109350,112089
50,50,30,1800,1,20,2730.72,109584,112315
50,50,30,1800,1,21,2840.77,109692,112533
50,50,30,1800,1,22,2738.89,109329,112068
50,50,30,1800,1,23,2724.96,109199,111924
50,50,30,1800,1,24,2736.32,109271,112007
50,50,30,1800,1,25,2733.16,109349,112082
50,50,30,1800,1,26,2732.07,109401,112133
50,50,30,1800,1,27,2734.42,109240,111974
50,50,30,1800,1,28,2733.31,109522,112255
50,50,30,1800,1,29,2744.58,109374,112119
50,50,30,1800,1,30,2735.76,109607,112343
50,50,30,1800,1,31,2753.45,109300,112053
50,50,30,1800,1,32,2722.99,109307,112030
50,50,30,1800,1,33,2730.39,109324,112054
50,50,30,1800,1,34,2733.5,109533,112266
50,50,30,1800,1,35,2726.2,109652,112378
50,50,30,1800,1,36,2722.56,109472,112195
50,50,30,1800,1,37,2736.08,109507,112243
50,50,30,1800,1,38,2744.91,109522,112267
50,50,30,1800,1,39,2743.67,109391,112135
50,50,30,1800,1,40,2733.8,109256,111990
50,50,30,1800,1,41,2726.71,109411,112138
50,50,30,1800,1,42,2726.97,109380,112107
50,50,30,1800,1,43,2742.2,109472,112214
50,50,30,1800,1,44,2723.61,109324,112048
50,50,30,1800,1,45,2724.93,109365,112090
50,50,30,1800,1,46,2734.49,109411,112145
50,50,30,1800,1,47,2718.07,109268,111986
50,50,30,1800,1,48,2726.59,109513,112240
50,50,30,1800,1,49,2756.29,109489,112245
args: -sizex=50 -sizey=50 -sizez=30 -iters=1800 -batch=50 -bsize=1
