Timestamp,Power (W)
1756890325297,33
1756890330313,32
1756890335289,40
1756890339797,40
1756890344797,41
1756890349797,41
1756890354797,40
1756890359797,41
1756890364797,40
1756890369319,43
1756890374301,42
1756890379289,40
1756890384289,41
1756890389301,40
1756890394289,41
1756890398801,40
1756890403797,41
1756890408797,40
1756890413797,41
1756890418805,40
1756890423289,41
1756890428301,41
1756890433300,41
1756890438289,40
1756890443297,40
1756890448305,41
1756890452813,37
1756890457813,42
1756890462797,41
1756890467793,40
1756890472797,41
1756890477797,41
1756890482297,40
1756890487297,41
1756890492289,41
1756890497311,46
1756890502313,44
1756890507297,45
1756890511793,48
1756890516805,41
1756890521801,40
1756890526793,41
1756890531801,40
1756890536793,40
1756890541293,41
1756890546309,41
1756890551309,41
1756890556301,41
1756890561309,40
1756890566309,47
1756890570801,47
1756890575801,40
1756890580801,41
1756890585793,42
1756890590793,41
1756890595793,41
1756890600297,41
1756890605321,36
Command: /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/rtm_fp/vck5000_project/hls/build/hw/rtm3d_host /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/rtm_fp/vck5000_project/hls/build/hw/rtm3d.xclbin -sizex=100 -sizey=100 -sizez=100 -iters=1800 -piter=60 -bsize=20
