Timestamp,Power (W)
1757026979109,34
1757026983585,41
1757026988613,41
1757026993629,41
1757026998605,41
1757027003599,41
1757027008594,41
1757027013101,41
1757027018093,41
1757027023109,41
1757027028109,40
1757027033093,41
1757027038093,41
1757027042597,41
1757027047593,41
1757027052597,41
1757027057593,41
1757027062593,40
1757027067604,41
1757027072094,41
1757027077109,41
1757027082125,41
1757027087097,41
1757027092089,41
1757027097101,41
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_datacopy_project/hls/build/hw/blackscholes_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_datacopy_project/hls/build/hw/blackscholes.xclbin -sizex=10000 -iters=60000 -piter=10000 -bsize=1
