grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,1,1,60000,1,0,7.404,3208,3215.4
200,1,1,60000,1,1,9.779,3217,3226.78
200,1,1,60000,1,2,9.518,3182,3191.52
200,1,1,60000,1,3,10.91,3479,3489.91
200,1,1,60000,1,4,12.533,3549,3561.53
200,1,1,60000,1,5,12.604,3488,3500.6
200,1,1,60000,1,6,12.504,3145,3157.5
200,1,1,60000,1,7,12.484,3152,3164.48
200,1,1,60000,1,8,12.414,3144,3156.41
200,1,1,60000,1,9,13.686,3178,3191.69
200,1,1,60000,1,10,13.356,3151,3164.36
200,1,1,60000,1,11,13.055,3144,3157.05
200,1,1,60000,1,12,13.966,3346,3359.97
200,1,1,60000,1,13,14.468,3487,3501.47
200,1,1,60000,1,14,12.584,3591,3603.58
200,1,1,60000,1,15,12.463,3696,3708.46
200,1,1,60000,1,16,12.714,3740,3752.71
200,1,1,60000,1,17,12.453,3705,3717.45
200,1,1,60000,1,18,12.383,3785,3797.38
200,1,1,60000,1,19,12.453,3640,3652.45
200,1,1,60000,1,20,12.584,3423,3435.58
200,1,1,60000,1,21,12.584,3186,3198.58
200,1,1,60000,1,22,12.634,3153,3165.63
200,1,1,60000,1,23,12.575,3147,3159.57
200,1,1,60000,1,24,12.754,3202,3214.75
200,1,1,60000,1,25,12.424,3184,3196.42
200,1,1,60000,1,26,12.493,3145,3157.49
200,1,1,60000,1,27,12.544,3117,3129.54
200,1,1,60000,1,28,12.534,3124,3136.53
200,1,1,60000,1,29,12.474,3147,3159.47
200,1,1,60000,1,30,12.744,3115,3127.74
200,1,1,60000,1,31,12.534,3120,3132.53
200,1,1,60000,1,32,12.633,3116,3128.63
200,1,1,60000,1,33,12.584,3147,3159.58
200,1,1,60000,1,34,12.553,3115,3127.55
200,1,1,60000,1,35,12.544,3121,3133.54
200,1,1,60000,1,36,12.464,3116,3128.46
200,1,1,60000,1,37,12.614,3148,3160.61
200,1,1,60000,1,38,12.785,3117,3129.78
200,1,1,60000,1,39,15.209,3130,3145.21
200,1,1,60000,1,40,13.796,3113,3126.8
200,1,1,60000,1,41,14.557,3151,3165.56
200,1,1,60000,1,42,13.515,3113,3126.51
200,1,1,60000,1,43,13.326,3114,3127.33
200,1,1,60000,1,44,13.706,3118,3131.71
200,1,1,60000,1,45,13.525,3145,3158.53
200,1,1,60000,1,46,13.626,3111,3124.63
200,1,1,60000,1,47,13.285,3120,3133.28
200,1,1,60000,1,48,13.465,3112,3125.47
200,1,1,60000,1,49,13.456,3145,3158.46
200,1,1,60000,1,50,13.205,3111,3124.2
200,1,1,60000,1,51,13.165,3112,3125.16
200,1,1,60000,1,52,13.445,3111,3124.45
200,1,1,60000,1,53,13.205,3144,3157.2
200,1,1,60000,1,54,13.305,3111,3124.3
200,1,1,60000,1,55,13.275,3115,3128.28
200,1,1,60000,1,56,13.365,3112,3125.36
200,1,1,60000,1,57,13.125,3143,3156.12
200,1,1,60000,1,58,13.064,3112,3125.06
200,1,1,60000,1,59,13.566,3117,3130.57
200,1,1,60000,1,60,13.215,3109,3122.22
200,1,1,60000,1,61,13.445,3153,3166.45
200,1,1,60000,1,62,13.296,3109,3122.3
200,1,1,60000,1,63,13.265,3116,3129.26
200,1,1,60000,1,64,13.135,3109,3122.14
200,1,1,60000,1,65,13.246,3144,3157.25
200,1,1,60000,1,66,13.296,3108,3121.3
200,1,1,60000,1,67,13.205,3113,3126.2
200,1,1,60000,1,68,13.486,3110,3123.49
200,1,1,60000,1,69,13.195,3147,3160.2
200,1,1,60000,1,70,13.155,3109,3122.16
200,1,1,60000,1,71,13.446,3112,3125.45
200,1,1,60000,1,72,13.075,3114,3127.07
200,1,1,60000,1,73,13.125,3142,3155.12
200,1,1,60000,1,74,13.225,3109,3122.22
200,1,1,60000,1,75,13.065,3113,3126.07
200,1,1,60000,1,76,13.075,3110,3123.07
200,1,1,60000,1,77,13.295,3146,3159.3
200,1,1,60000,1,78,13.606,3109,3122.61
200,1,1,60000,1,79,13.336,3114,3127.34
200,1,1,60000,1,80,13.616,3114,3127.62
200,1,1,60000,1,81,13.426,3146,3159.43
200,1,1,60000,1,82,13.426,3111,3124.43
200,1,1,60000,1,83,13.345,3118,3131.34
200,1,1,60000,1,84,13.536,3111,3124.54
200,1,1,60000,1,85,13.445,3144,3157.45
200,1,1,60000,1,86,13.646,3113,3126.65
200,1,1,60000,1,87,13.456,3113,3126.46
200,1,1,60000,1,88,13.846,3111,3124.85
200,1,1,60000,1,89,13.506,3148,3161.51
200,1,1,60000,1,90,13.555,3112,3125.55
200,1,1,60000,1,91,13.396,3115,3128.4
200,1,1,60000,1,92,13.565,3113,3126.57
200,1,1,60000,1,93,13.225,3146,3159.22
200,1,1,60000,1,94,13.286,3111,3124.29
200,1,1,60000,1,95,13.806,3119,3132.81
200,1,1,60000,1,96,13.756,3112,3125.76
200,1,1,60000,1,97,13.486,3144,3157.49
200,1,1,60000,1,98,13.595,3117,3130.59
200,1,1,60000,1,99,28.834,3113,3141.83
args: -sizex=200 -iters=60000 -batch=100 -bsize=1
