File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 10000 Batches (kJ)
100_1_hls_power_profile.csv,100,1,1,1,10000,33.5,34488,1.155348,0.00011553480000000001,1.155348
100_10_hls_power_profile.csv,100,1,1,10,10000,36.0,5000,0.18,1.8e-05,0.18
100_20_hls_power_profile.csv,100,1,1,20,20000,36.0,4996,0.17985600000000002,8.992800000000001e-06,0.08992800000000001
100_50_hls_power_profile.csv,100,1,1,50,20000,38.5,4988,0.19203800000000001,9.6019e-06,0.09601900000000001
100_100_hls_power_profile.csv,100,1,1,100,40000,39.0,4485,0.17491500000000001,4.372875e-06,0.043728750000000004
100_200_hls_power_profile.csv,100,1,1,200,40000,40.0,5000,0.2,5e-06,0.05
150_1_hls_power_profile.csv,150,1,1,1,10000,33.625,34049,1.144897625,0.0001144897625,1.144897625
150_10_hls_power_profile.csv,150,1,1,10,10000,34.5,4972,0.17153400000000002,1.71534e-05,0.17153400000000002
150_20_hls_power_profile.csv,150,1,1,20,20000,35.333333333333336,9493,0.3354193333333334,1.677096666666667e-05,0.1677096666666667
150_50_hls_power_profile.csv,150,1,1,50,20000,33.0,4993,0.164769,8.23845e-06,0.08238450000000001
150_100_hls_power_profile.csv,150,1,1,100,40000,41.333333333333336,10044,0.415152,1.0378800000000001e-05,0.10378800000000002
150_200_hls_power_profile.csv,150,1,1,200,40000,41.0,4992,0.204672,5.1168e-06,0.051168
200_1_hls_power_profile.csv,200,1,1,1,10000,34.5,34545,1.1918025,0.00011918025000000001,1.1918025
200_10_hls_power_profile.csv,200,1,1,10,10000,38.5,4499,0.1732115,1.732115e-05,0.1732115
200_20_hls_power_profile.csv,200,1,1,20,20000,38.333333333333336,9992,0.3830266666666667,1.9151333333333334e-05,0.19151333333333334
200_50_hls_power_profile.csv,200,1,1,50,20000,39.0,5007,0.195273,9.76365e-06,0.09763649999999999
200_100_hls_power_profile.csv,200,1,1,100,40000,38.333333333333336,9504,0.36432,9.108e-06,0.09108
500_1_hls_power_profile.csv,500,1,1,1,10000,34.875,33988,1.1853315,0.00011853315,1.1853315
500_10_hls_power_profile.csv,500,1,1,10,10000,36.666666666666664,10014,0.36717999999999995,3.6717999999999996e-05,0.36717999999999995
500_20_hls_power_profile.csv,500,1,1,20,20000,39.5,14492,0.5724340000000001,2.8621700000000004e-05,0.28621700000000005
500_50_hls_power_profile.csv,500,1,1,50,20000,42.333333333333336,10000,0.4233333333333334,2.116666666666667e-05,0.2116666666666667
1000_1_hls_power_profile.csv,1000,1,1,1,10000,35.8,44500,1.5931,0.00015931,1.5931
1000_10_hls_power_profile.csv,1000,1,1,10,10000,38.75,14508,0.5621849999999999,5.621849999999999e-05,0.5621849999999999
1000_20_hls_power_profile.csv,1000,1,1,20,20000,41.333333333333336,24492,1.0123360000000001,5.0616800000000006e-05,0.5061680000000001
2000_1_hls_power_profile.csv,2000,1,1,1,10000,35.76923076923077,58996,2.1102415384615383,0.00021102415384615384,2.1102415384615383
2000_10_hls_power_profile.csv,2000,1,1,10,10000,40.0,24484,0.9793600000000001,9.7936e-05,0.97936
5000_1_hls_power_profile.csv,5000,1,1,1,10000,38.35294117647059,79016,3.0304960000000003,0.00030304960000000005,3.0304960000000003
10000_1_hls_power_profile.csv,10000,1,1,1,10000,40.64,117992,4.79519488,0.00047951948800000003,4.79519488
20000_1_hls_power_profile.csv,20000,1,1,1,5000,40.608695652173914,108500,4.40604347826087,0.0008812086956521741,8.81208695652174
30000_1_hls_power_profile.csv,30000,1,1,1,2000,40.785714285714285,63496,2.5897297142857143,0.001294864857142857,12.94864857142857
