grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,3103.39
150,1,1,1,3193.31
200,1,1,1,3183.57
500,1,1,1,3430.77
1000,1,1,1,4490.64
2000,1,1,1,5606.39
5000,1,1,1,7914.65
10000,1,1,1,11897.27
20000,1,1,1,21003.44
30000,1,1,1,30708.15
100,1,1,10,503.05
150,1,1,10,531.0
200,1,1,10,556.0800000000002
500,1,1,10,741.79
1000,1,1,10,1195.0500000000002
2000,1,1,10,2113.1099999999997
100,1,1,20,282.92999999999995
150,1,1,20,372.06000000000006
200,1,1,20,365.93
500,1,1,20,578.1
1000,1,1,20,1054.0800000000002
100,1,1,50,165.11
150,1,1,50,223.04
200,1,1,50,243.23000000000002
500,1,1,50,487.23
100,1,1,100,130.24
150,1,1,100,174.77
200,1,1,100,212.37
