Timestamp,Power (W)
1757096992097,34
1757096997101,41
1757097001609,40
1757097006605,41
1757097011585,40
1757097016601,40
1757097021601,39
1757097026617,41
1757097031081,40
1757097036099,40
1757097041105,34
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_loopback_project/hls/build/hw/blackscholes_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/blackscholes/vck5000_loopback_project/hls/build/hw/blackscholes.xclbin -sizex=200 -iters=60000 -piter=200000 -bsize=20
