grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
500,1,1,60000,1,0,12.5148,511.6,524.115
500,1,1,60000,1,1,28.2457,509.2,537.446
500,1,1,60000,1,2,24.3873,504.8,529.187
500,1,1,60000,1,3,29.1854,505.8,534.985
500,1,1,60000,1,4,29.1845,505,534.184
500,1,1,60000,1,5,29.8117,505,534.812
500,1,1,60000,1,6,29.2386,542,571.239
500,1,1,60000,1,7,29.1695,505.6,534.769
500,1,1,60000,1,8,29.3668,513.4,542.767
500,1,1,60000,1,9,29.8127,505.6,535.413
args: -sizex=500 -iters=60000 -batch=10 -bsize=10
