grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,2420.81
150,1,1,1,2415.99
200,1,1,1,2441.25
500,1,1,1,2583.58
1000,1,1,1,2851.48
2000,1,1,1,3398.45
5000,1,1,1,4968.23
10000,1,1,1,7566.39
20000,1,1,1,12779.32
30000,1,1,1,17981.9
100,1,1,10,295.43
150,1,1,10,348.85
200,1,1,10,347.50000000000006
500,1,1,10,510.8
1000,1,1,10,764.6
2000,1,1,10,1289.1799999999998
100,1,1,20,180.16
150,1,1,20,205.13000000000002
200,1,1,20,232.81
500,1,1,20,388.59
1000,1,1,20,646.9399999999999
100,1,1,50,110.67
150,1,1,50,135.03
200,1,1,50,159.48
500,1,1,50,318.1
100,1,1,100,86.35
150,1,1,100,111.36
200,1,1,100,136.51
