Timestamp,Power (W)
1757029702105,31
1757029707093,36
1757029712093,35
1757029717107,39
1757029722101,39
1757029727109,37
1757029731610,36
1757029736609,37
1757029741609,39
1757029746601,38
1757029751609,39
1757029756601,39
1757029761105,40
1757029766113,39
1757029771113,39
1757029776097,31
1757029781128,39
1757029785609,39
1757029790601,38
1757029795602,38
1757029800601,37
1757029805601,39
1757029810601,39
1757029815109,35
1757029820093,39
1757029825117,39
1757029830097,37
1757029835101,39
1757029840101,38
1757029844595,37
1757029849609,31
1757029854597,39
1757029859602,39
1757029864601,36
1757029869609,35
1757029874101,40
1757029879101,39
1757029884101,39
1757029889121,35
1757029894105,38
1757029899097,39
1757029903601,39
1757029908624,36
1757029913609,36
1757029918609,39
1757029923618,31
1757029928617,39
1757029933117,39
1757029938093,37
1757029943101,39
1757029948109,39
1757029953089,39
1757029958101,39
1757029962601,39
1757029967621,39
1757029972623,39
1757029977609,36
1757029982605,37
1757029987602,37
1757029992109,37
1757029997109,39
1757030002109,39
1757030007109,36
1757030012109,39
1757030017093,39
1757030021609,35
1757030026601,38
1757030031601,39
1757030036607,39
1757030041593,36
1757030046593,39
1757030051109,39
1757030056097,39
1757030061101,37
1757030066101,37
1757030071108,39
1757030076101,39
1757030080609,39
1757030085601,39
1757030090601,35
1757030095609,38
1757030100611,39
1757030105601,39
1757030110116,35
1757030115094,38
1757030120109,39
1757030125100,38
1757030130105,39
1757030135109,39
1757030139617,39
1757030144593,39
1757030149601,39
1757030154601,39
1757030159605,35
1757030164622,38
1757030169124,39
1757030174101,39
1757030179122,39
1757030184097,39
1757030189100,37
1757030194105,39
1757030198601,35
1757030203601,37
1757030208601,39
1757030213597,39
1757030218592,39
1757030223609,39
1757030228100,38
1757030233093,39
1757030238093,38
1757030243102,39
1757030248109,39
1757030253101,39
1757030257609,39
1757030262597,39
1757030267600,39
1757030272609,34
1757030277609,36
1757030282592,39
1757030287105,39
1757030292123,37
1757030297112,39
1757030302101,38
1757030307118,36
1757030312092,39
1757030316596,37
1757030321601,39
1757030326600,37
1757030331593,35
1757030336597,39
1757030341605,38
1757030346093,40
1757030351093,39
1757030356111,39
1757030361101,39
1757030366097,35
1757030371110,39
1757030375609,39
1757030380601,39
1757030385609,39
1757030390625,39
1757030395601,40
1757030400609,39
1757030405121,39
1757030410092,37
1757030415109,36
1757030420107,39
1757030425121,35
1757030430093,39
1757030434618,39
1757030439609,39
1757030444601,31
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/heat3d/vck5000_project/hls/build/hw/heat3d_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/heat3d/vck5000_project/hls/build/hw/heat3d.xclbin -sizex=250 -sizey=250 -sizez=250 -iters=60044 -bsize=1 -piter=50
