grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60044,1,0,3188.74,225163,228352
50,50,50,60044,1,1,7535.51,225265,232801
50,50,50,60044,1,2,7531,225218,232749
50,50,50,60044,1,3,3714.39,225180,228894
50,50,50,60044,1,4,7324.62,225192,232517
50,50,50,60044,1,5,7666.62,225212,232879
50,50,50,60044,1,6,3822.72,225144,228967
50,50,50,60044,1,7,7290.05,225217,232507
50,50,50,60044,1,8,7522.96,225128,232651
50,50,50,60044,1,9,3527.84,225237,228765
args: -sizex=50 -sizey=50 -sizez=50 -iters=60044 -batch=10 -bsize=1
