File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 50 Batches (kJ)
30_30_30_1_hls_power_profile.csv,30,30,30,1,100,34.0,4992,0.16972800000000002,0.0016972800000000002,0.08486400000000001
30_30_30_10_hls_power_profile.csv,30,30,30,10,200,33.5,14507,0.4859845,0.0024299225,0.121496125
30_30_30_50_hls_power_profile.csv,30,30,30,50,200,33.5,15000,0.5025,0.0025124999999999995,0.125625
50_50_50_1_hls_power_profile.csv,50,50,50,1,100,34.5,24500,0.84525,0.0084525,0.422625
50_50_50_10_hls_power_profile.csv,50,50,50,10,200,35.09090909090909,49504,1.7371403636363636,0.008685701818181818,0.4342850909090909
50_50_50_50_hls_power_profile.csv,50,50,50,50,200,35.63636363636363,49012,1.7466094545454545,0.008733047272727272,0.4366523636363636
100_100_100_1_hls_power_profile.csv,100,100,100,1,100,36.53846153846154,122996,4.494084615384615,0.04494084615384615,2.2470423076923076
100_100_100_10_hls_power_profile.csv,100,100,100,10,200,36.82692307692308,250549,9.226948750000002,0.04613474375000001,2.3067371875000005
100_100_100_50_hls_power_profile.csv,100,100,100,50,200,36.76923076923077,250524,9.211574769230769,0.04605787384615384,2.302893692307692
150_150_150_1_hls_power_profile.csv,150,150,150,1,100,36.586666666666666,363500,13.299253333333333,0.13299253333333333,6.649626666666666
150_150_150_10_hls_power_profile.csv,150,150,150,10,200,37.13513513513514,722976,26.847811459459457,0.1342390572972973,6.711952864864864
200_200_200_1_hls_power_profile.csv,200,200,200,1,50,37.84146341463415,398524,15.080731365853659,0.30161462731707317,15.080731365853659
250_250_250_1_hls_power_profile.csv,250,250,250,1,50,37.88157894736842,742496,28.12692084210526,0.5625384168421053,28.126920842105264
300_300_300_1_hls_power_profile.csv,300,300,300,1,50,37.93227091633466,1229016,46.61936787250996,0.9323873574501992,46.61936787250996
