Timestamp,Power (W)
1757109175137,31
1757109180109,42
1757109185137,42
1757109190129,41
1757109194629,41
1757109199635,41
1757109204622,41
1757109209617,41
1757109214629,31
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian2d/vck5000_datacopy_project/hls/build/hw/jac2D9pt_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian2d/vck5000_datacopy_project/hls/build/hw/jac2D9pt.xclbin -sizex=200 -sizey=200 -iters=60012 -piter=500 -bsize=1
