grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,300,1,60012,1,0,1395.14,143218,144613
300,300,1,60012,1,1,1375.46,143142,144517
300,300,1,60012,1,2,1396.22,143148,144544
300,300,1,60012,1,3,1402.37,143147,144549
300,300,1,60012,1,4,1507.21,143152,144659
300,300,1,60012,1,5,1385.87,143143,144529
300,300,1,60012,1,6,1385.63,143153,144539
300,300,1,60012,1,7,1384.16,143151,144535
300,300,1,60012,1,8,1387.79,143149,144537
300,300,1,60012,1,9,1381.92,143152,144534
300,300,1,60012,1,10,1386.36,143151,144537
300,300,1,60012,1,11,1382.82,143151,144534
300,300,1,60012,1,12,1461.58,143152,144614
300,300,1,60012,1,13,1378.03,143149,144527
300,300,1,60012,1,14,1385.73,143150,144536
300,300,1,60012,1,15,1518.21,143146,144664
300,300,1,60012,1,16,1403.44,143152,144555
300,300,1,60012,1,17,1387.26,143150,144537
300,300,1,60012,1,18,1529.86,143149,144679
300,300,1,60012,1,19,1382.38,143152,144534
args: -sizex=300 -sizey=300 -iters=60012 -batch=20 -bsize=1
