grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,8479.04
60,60,1,1,14989.12
100,100,1,1,26510.18
200,100,1,1,42675.68
200,200,1,1,71630.84
300,150,1,1,79662.45
300,300,1,1,143152.85
400,200,1,1,135367.6
400,300,1,1,193678.15
400,400,1,1,250720.0
30,30,1,10,2352.33
60,60,1,10,6639.63
100,100,1,10,17209.14
200,100,1,10,31218.660000000003
200,200,1,10,60084.31
300,150,1,10,66242.5
300,300,1,10,130139.5
400,200,1,10,119313.5
400,300,1,10,177705.5
400,400,1,10,234958.5
30,30,1,20,2006.5700000000002
60,60,1,20,6182.79
100,100,1,20,16713.100000000002
200,100,1,20,30563.019999999997
200,200,1,20,59454.44
300,150,1,20,65652.1
300,300,1,20,129218.0
400,200,1,20,118379.0
400,300,1,20,176193.0
400,400,1,20,234673.0
30,30,1,50,1803.16
60,60,1,50,5996.360000000001
100,100,1,50,16417.050000000003
200,100,1,50,30200.85
200,200,1,50,59096.25
300,150,1,50,65175.5
300,300,1,50,128798.0
400,200,1,50,117850.0
400,300,1,50,176625.0
400,400,1,50,233567.0
30,30,1,100,1735.45
60,60,1,100,5878.74
100,100,1,100,16327.4
200,100,1,100,30083.9
200,200,1,100,58976.1
300,150,1,100,65015.1
300,300,1,100,128302.0
400,200,1,100,117741.0
400,300,1,100,175502.0
400,400,1,100,233269.0
