grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,1,60012,1,0,20.92,6080,6100.92
30,30,1,60012,1,1,17.854,6061,6078.85
30,30,1,60012,1,2,17.684,6051,6068.68
30,30,1,60012,1,3,18.355,6039,6057.35
30,30,1,60012,1,4,18.575,6050,6068.57
30,30,1,60012,1,5,17.934,6047,6064.93
30,30,1,60012,1,6,17.944,6048,6065.94
30,30,1,60012,1,7,17.925,6047,6064.93
30,30,1,60012,1,8,18.495,6046,6064.49
30,30,1,60012,1,9,18.555,6038,6056.56
30,30,1,60012,1,10,18.325,6050,6068.32
30,30,1,60012,1,11,17.854,6040,6057.85
30,30,1,60012,1,12,18.445,6075,6093.44
30,30,1,60012,1,13,18.436,6036,6054.44
30,30,1,60012,1,14,18.335,6035,6053.34
30,30,1,60012,1,15,19.167,6040,6059.17
30,30,1,60012,1,16,18.485,6044,6062.48
30,30,1,60012,1,17,18.295,6035,6053.3
30,30,1,60012,1,18,18.084,6048,6066.08
30,30,1,60012,1,19,18.616,6035,6053.62
30,30,1,60012,1,20,18.325,6048,6066.32
30,30,1,60012,1,21,18.455,6039,6057.45
30,30,1,60012,1,22,17.834,6040,6057.83
30,30,1,60012,1,23,18.475,6049,6067.48
30,30,1,60012,1,24,19.197,6037,6056.2
30,30,1,60012,1,25,18.365,6036,6054.36
30,30,1,60012,1,26,18.004,6046,6064
30,30,1,60012,1,27,17.764,6040,6057.76
30,30,1,60012,1,28,17.704,6051,6068.7
30,30,1,60012,1,29,18.174,6040,6058.17
30,30,1,60012,1,30,17.544,6039,6056.54
30,30,1,60012,1,31,18.575,6041,6059.57
30,30,1,60012,1,32,18.395,6048,6066.4
30,30,1,60012,1,33,18.495,6043,6061.49
30,30,1,60012,1,34,18.386,6044,6062.39
30,30,1,60012,1,35,18.406,6043,6061.41
30,30,1,60012,1,36,18.385,6056,6074.39
30,30,1,60012,1,37,18.315,6010,6028.31
30,30,1,60012,1,38,18.334,6011,6029.33
30,30,1,60012,1,39,18.384,6019,6037.38
30,30,1,60012,1,40,18.295,6048,6066.3
30,30,1,60012,1,41,17.814,6013,6030.81
30,30,1,60012,1,42,18.776,6012,6030.78
30,30,1,60012,1,43,18.505,6058,6076.51
30,30,1,60012,1,44,17.814,6039,6056.81
30,30,1,60012,1,45,18.405,6046,6064.4
30,30,1,60012,1,46,18.235,6040,6058.23
30,30,1,60012,1,47,18.475,6047,6065.48
30,30,1,60012,1,48,18.375,6039,6057.38
30,30,1,60012,1,49,18.445,6038,6056.44
30,30,1,60012,1,50,18.294,6047,6065.29
30,30,1,60012,1,51,18.305,6008,6026.31
30,30,1,60012,1,52,18.566,6016,6034.57
30,30,1,60012,1,53,19.316,6005,6024.32
30,30,1,60012,1,54,18.385,6010,6028.39
30,30,1,60012,1,55,18.345,6004,6022.35
30,30,1,60012,1,56,17.955,6006,6023.95
30,30,1,60012,1,57,17.944,6007,6024.94
30,30,1,60012,1,58,18.285,5998,6016.28
30,30,1,60012,1,59,18.194,5995,6013.19
30,30,1,60012,1,60,18.295,5998,6016.3
30,30,1,60012,1,61,17.914,5995,6012.91
30,30,1,60012,1,62,18.485,5997,6015.48
30,30,1,60012,1,63,18.455,5994,6012.45
30,30,1,60012,1,64,18.334,6000,6018.33
30,30,1,60012,1,65,17.905,5998,6015.9
30,30,1,60012,1,66,18.525,5994,6012.52
30,30,1,60012,1,67,17.914,5996,6013.91
30,30,1,60012,1,68,18.525,5997,6015.52
30,30,1,60012,1,69,17.903,5992,6009.9
30,30,1,60012,1,70,18.506,5994,6012.51
30,30,1,60012,1,71,18.325,6001,6019.32
30,30,1,60012,1,72,18.224,5996,6014.22
30,30,1,60012,1,73,18.506,6000,6018.51
30,30,1,60012,1,74,18.515,6000,6018.52
30,30,1,60012,1,75,19.116,6002,6021.12
30,30,1,60012,1,76,16.231,5997,6013.23
30,30,1,60012,1,77,16.071,6000,6016.07
30,30,1,60012,1,78,16.141,5999,6015.14
30,30,1,60012,1,79,16.121,6004,6020.12
30,30,1,60012,1,80,16.2,5996,6012.2
30,30,1,60012,1,81,16.271,5997,6013.27
30,30,1,60012,1,82,16.151,6001,6017.15
30,30,1,60012,1,83,15.96,6006,6021.96
30,30,1,60012,1,84,15.66,5999,6014.66
30,30,1,60012,1,85,16.602,6003,6019.6
30,30,1,60012,1,86,16.171,6000,6016.17
30,30,1,60012,1,87,16.261,5995,6011.26
30,30,1,60012,1,88,15.85,6002,6017.85
30,30,1,60012,1,89,16.171,5995,6011.17
30,30,1,60012,1,90,16.161,6003,6019.16
30,30,1,60012,1,91,16.411,5998,6014.41
30,30,1,60012,1,92,15.73,6001,6016.73
30,30,1,60012,1,93,16.09,5998,6014.09
30,30,1,60012,1,94,16.302,6005,6021.3
30,30,1,60012,1,95,16.111,5996,6012.11
30,30,1,60012,1,96,16.111,6002,6018.11
30,30,1,60012,1,97,16.191,6000,6016.19
30,30,1,60012,1,98,16.161,6002,6018.16
30,30,1,60012,1,99,16.262,5998,6014.26
args: -sizex=30 -sizey=30 -iters=60012 -batch=100 -bsize=1
