File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 50 Batches (kJ)
30_30_30_1_hls_power_profile.csv,30,30,30,1,100,44.91010217857142,7512,0.3373646875654285,0.003373646875654285,0.16868234378271424
30_30_30_10_hls_power_profile.csv,30,30,30,10,200,58.756541312500005,8129,0.47763192432931256,0.0023881596216465627,0.11940798108232814
30_30_30_50_hls_power_profile.csv,30,30,30,50,500,63.942921161764694,17260,1.1036548192520588,0.0022073096385041174,0.11036548192520587
50_50_50_1_hls_power_profile.csv,50,50,50,1,100,54.203716450980394,26537,1.4384040234596667,0.014384040234596667,0.7192020117298333
50_50_50_10_hls_power_profile.csv,50,50,50,10,200,64.42251216901407,36091,2.3250728866918866,0.011625364433459432,0.5812682216729717
50_50_50_50_hls_power_profile.csv,50,50,50,50,500,66.4382256119403,85155,5.657547101984776,0.011315094203969553,0.5657547101984777
100_100_100_1_hls_power_profile.csv,100,100,100,1,100,37.949953396678964,140751,5.341493890535961,0.053414938905359616,2.6707469452679806
100_100_100_10_hls_power_profile.csv,100,100,100,10,200,39.180073879823595,230357,9.025404278734523,0.04512702139367262,2.256351069683631
100_100_100_50_hls_power_profile.csv,100,100,100,50,500,39.22746676196928,563037,22.086515203258898,0.044173030406517794,2.2086515203258896
150_150_150_1_hls_power_profile.csv,150,150,150,1,100,38.32251780137414,412600,15.811870844846972,0.15811870844846973,7.905935422423487
150_150_150_10_hls_power_profile.csv,150,150,150,10,200,39.06673203483462,722636,28.23102697072475,0.14115513485362374,7.057756742681187
200_200_200_1_hls_power_profile.csv,200,200,200,1,20,64.20008783050848,182915,11.743159065517458,0.587157953275873,29.357897663793647
250_250_250_1_hls_power_profile.csv,250,250,250,1,20,44.06613593077502,341189,15.034880852085198,0.7517440426042599,37.587202130212994
300_300_300_1_hls_power_profile.csv,300,300,300,1,20,62.36078656792873,572312,35.68982648226443,1.7844913241132214,89.22456620566108
