Timestamp,Power (W)
1757183672789,45
1757183677785,42
1757183682801,43
1757183687277,45
1757183692277,45
1757183697277,45
1757183702281,46
1757183707285,42
1757183712293,43
1757183716785,45
1757183721776,42
1757183726789,45
1757183731785,42
1757183736785,45
1757183741781,45
1757183746292,44
1757183751277,45
1757183756277,43
1757183761301,41
1757183766286,45
1757183771285,45
1757183775793,45
1757183780785,44
1757183785785,45
1757183790777,46
1757183795781,45
1757183800781,44
1757183805281,44
1757183810304,43
1757183815297,43
1757183820293,45
1757183825285,44
1757183830289,45
1757183834781,43
1757183839785,44
1757183844777,45
1757183849789,44
1757183854785,43
1757183859773,44
1757183864285,43
1757183869285,45
1757183874303,45
1757183879285,43
1757183884297,45
1757183889277,42
1757183893801,43
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian3d/vck5000_project/hls/build/hw/jac3D7pt_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/jacobian3d/vck5000_project/hls/build/hw/jac3D7pt.xclbin -sizex=200 -sizey=200 -sizez=200 -iters=60016 -piter=20 -bsize=1
