grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60016,1,0,2110.07,286524,288634
50,50,50,60016,1,1,2101.45,286464,288565
50,50,50,60016,1,2,2127.17,286436,288563
50,50,50,60016,1,3,2297.12,286452,288749
50,50,50,60016,1,4,2104.59,286468,288573
50,50,50,60016,1,5,2101.28,286461,288562
50,50,50,60016,1,6,2108.08,286452,288560
50,50,50,60016,1,7,2094.64,286469,288564
50,50,50,60016,1,8,2111.84,286463,288575
50,50,50,60016,1,9,2102.77,286463,288566
args: -sizex=50 -sizey=50 -sizez=50 -iters=60016 -batch=10 -bsize=1
