Timestamp,Power (W)
1757194712321,33
1757194716797,49
1757194721825,49
1757194726829,49
1757194731797,49
1757194736837,49
1757194741825,49
1757194746313,49
1757194751333,49
1757194756313,49
1757194761317,49
1757194766313,49
1757194771313,49
Command: /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/poisson2d/vck5000_datacopy_project/hls/build/hw/poisson2d_host /home/x_thileeb/repos/ops-hls-batching-tiling-artifacts/codegen_apps/poisson2d/vck5000_datacopy_project/hls/build/hw/poisson2d.xclbin -sizex=200 -sizey=100 -iters=60060 -piter=5000 -bsize=10
