grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,100,1,60060,1,0,1095.28,10645.7,11741
200,100,1,60060,1,1,1092.47,10638.3,11730.8
200,100,1,60060,1,2,1092.56,10638.9,11731.5
200,100,1,60060,1,3,1092.51,10640,11732.5
200,100,1,60060,1,4,1091.75,10640,11731.8
200,100,1,60060,1,5,1091.71,10640.2,11731.9
200,100,1,60060,1,6,1092.69,10639.4,11732.1
200,100,1,60060,1,7,1094.46,10639.3,11733.8
200,100,1,60060,1,8,1101.87,10639.9,11741.8
200,100,1,60060,1,9,1092.68,10640.1,11732.8
args: -sizex=200 -sizey=100 -iters=60060 -batch=10 -bsize=10
