grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,300,1,60060,1,0,4997.85,51786,56783.8
300,300,1,60060,1,1,4991.41,51743,56734.4
300,300,1,60060,1,2,4994.15,51738,56732.2
300,300,1,60060,1,3,4977.31,51738,56715.3
300,300,1,60060,1,4,5160.04,51741,56901
300,300,1,60060,1,5,5033.4,51742,56775.4
300,300,1,60060,1,6,4995.3,51741,56736.3
300,300,1,60060,1,7,4979.2,51741,56720.2
300,300,1,60060,1,8,4976.49,51753,56729.5
300,300,1,60060,1,9,4975.9,51739,56714.9
300,300,1,60060,1,10,4972.2,51728,56700.2
300,300,1,60060,1,11,4979.49,51741,56720.5
300,300,1,60060,1,12,4985.32,51743,56728.3
300,300,1,60060,1,13,5000.92,51741,56741.9
300,300,1,60060,1,14,4978.55,51738,56716.6
300,300,1,60060,1,15,4981.09,51739,56720.1
300,300,1,60060,1,16,4982.41,51737,56719.4
300,300,1,60060,1,17,4979.32,51740,56719.3
300,300,1,60060,1,18,4971.37,51740,56711.4
300,300,1,60060,1,19,5065.84,51743,56808.8
args: -sizex=300 -sizey=300 -iters=60060 -batch=20 -bsize=1
