File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 1000 Batches (kJ)
30_30_1_hls_power_profile.csv,30,30,1,1,1000,34.0,9996,0.33986400000000005,0.00033986400000000005,0.33986400000000005
30_30_10_hls_power_profile.csv,30,30,1,10,10000,41.666666666666664,9484,0.3951666666666666,3.951666666666666e-05,0.03951666666666666
30_30_20_hls_power_profile.csv,30,30,1,20,10000,37.0,9500,0.3515,3.515e-05,0.03515
30_30_50_hls_power_profile.csv,30,30,1,50,10000,38.0,9996,0.379848,3.79848e-05,0.037984800000000006
60_60_1_hls_power_profile.csv,60,60,1,1,1000,37.0,5016,0.185592,0.000185592,0.185592
60_60_10_hls_power_profile.csv,60,60,1,10,10000,44.0,29490,1.29756,0.000129756,0.12975599999999998
60_60_20_hls_power_profile.csv,60,60,1,20,10000,44.0,24493,1.077692,0.0001077692,0.10776920000000001
100_100_1_hls_power_profile.csv,100,100,1,1,500,37.0,4996,0.18485200000000002,0.00036970400000000005,0.36970400000000003
100_100_10_hls_power_profile.csv,100,100,1,10,5000,44.5,34500,1.53525,0.00030705,0.30705
200_100_1_hls_power_profile.csv,200,100,1,1,500,38.333333333333336,10010,0.3837166666666667,0.0007674333333333335,0.7674333333333334
200_200_1_hls_power_profile.csv,200,200,1,1,500,36.25,14480,0.5248999999999999,0.0010497999999999998,1.0497999999999998
300_150_1_hls_power_profile.csv,300,150,1,1,250,33.0,9988,0.329604,0.001318416,1.318416
300_300_1_hls_power_profile.csv,300,300,1,1,100,39.5,5001,0.1975395,0.001975395,1.975395
400_200_1_hls_power_profile.csv,400,200,1,1,100,34.0,4986,0.169524,0.00169524,1.69524
400_300_1_hls_power_profile.csv,400,300,1,1,100,41.333333333333336,9524,0.39365866666666666,0.003936586666666667,3.936586666666667
400_400_1_hls_power_profile.csv,400,400,1,1,100,41.666666666666664,10004,0.41683333333333333,0.004168333333333333,4.168333333333333
