grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,30,1,1281.97
30,30,50,1,24928.8
50,50,16,1,28848.65
50,50,30,1,109394.58
50,50,50,1,75548.65
75,75,75,1,267473.2
100,100,100,1,624351.1
150,150,150,1,1553790.0
200,200,200,1,4602830.0
250,250,250,1,6765720.0
256,256,32,1,1039950.0
300,300,300,1,13511100.0
512,256,64,1,4104575.0
512,512,128,1,14973550.0
30,30,30,10,1299.1100000000001
30,30,50,10,29407.95
50,50,16,10,25956.510000000002
50,50,30,10,106608.0
50,50,50,10,94837.99999999999
75,75,75,10,211005.4
100,100,100,10,1049594.0
150,150,150,10,2558972.0
30,30,30,50,1271.296
30,30,50,50,33039.509999999995
50,50,16,50,25757.38
50,50,30,50,106343.7
50,50,50,50,107816.7
75,75,75,50,206038.0
100,100,100,50,540209.25
