Timestamp,Power (W)
1756888107286,33
1756888112293,32
1756888117313,39
1756888122292,36
1756888127302,41
1756888131805,40
1756888136800,40
1756888141828,40
1756888146797,41
1756888151796,40
1756888156793,40
1756888161285,40
1756888166285,40
1756888171297,41
1756888176293,41
1756888181293,41
1756888186305,40
1756888190797,40
1756888195809,41
1756888200801,41
1756888205809,41
1756888210792,41
1756888215799,41
1756888220284,41
1756888225305,40
1756888230293,41
1756888235302,40
1756888240284,37
1756888245313,40
Command: /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/rtm_fp/vck5000_project/hls/build/hw/rtm3d_host /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/rtm_fp/vck5000_project/hls/build/hw/rtm3d.xclbin -sizex=250 -sizey=250 -sizez=250 -iters=1800 -piter=2 -bsize=1
