grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,30,1800,1,0,895.934,371701,372597
30,30,30,1800,1,1,892.747,371410,372303
30,30,30,1800,1,2,897.236,371576,372473
30,30,30,1800,1,3,895.763,371401,372297
30,30,30,1800,1,4,899.379,371632,372531
30,30,30,1800,1,5,891.645,371316,372208
30,30,30,1800,1,6,899.5,371555,372454
30,30,30,1800,1,7,902.766,371456,372359
30,30,30,1800,1,8,899.79,371698,372598
30,30,30,1800,1,9,900.492,371395,372295
args: -sizex=30 -sizey=30 -sizez=30 -iters=1800 -batch=10 -bsize=1
