grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,30,1,371514.0
30,30,50,1,445917.3
50,50,16,1,628283.7
50,50,30,1,795249.4
50,50,50,1,1046108.0
75,75,75,1,2782364.0
100,100,100,1,5879220.0
125,125,125,1,10627300.0
150,150,150,1,16410650.0
175,175,175,1,25086450.0
200,200,200,1,36218650.0
225,225,225,1,50648800.0
250,250,250,1,66773650.0
30,30,30,10,222821.0
30,30,50,10,322232.0
50,50,16,10,354030.0
50,50,30,10,521611.0
50,50,50,10,751511.0
30,30,30,20,216591.0
30,30,50,20,318564.0
50,50,16,20,338597.0
50,50,30,20,506053.0
50,50,50,20,737496.0
30,30,30,40,212770.0
30,30,50,40,319664.0
50,50,16,40,336668.0
50,50,30,40,501340.0
50,50,50,40,744456.0
