grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
2500,2500,1,1024,1,0,334099,66882,400981
2500,2500,1,1024,1,1,333317,66842,400159
2500,2500,1,1024,1,2,333327,66853,400180
2500,2500,1,1024,1,3,333298,66859,400157
2500,2500,1,1024,1,4,333568,66853,400421
2500,2500,1,1024,1,5,333450,66837,400287
2500,2500,1,1024,1,6,333195,66836,400031
2500,2500,1,1024,1,7,333095,66840,399935
2500,2500,1,1024,1,8,333390,66856,400246
2500,2500,1,1024,1,9,333335,66851,400186
args: -sizex=2500 -sizey=2500 -iters=1024 -batch=10 -bsize=1
