grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
2500,2500,1,1008,1,0,349600,192523,542123
2500,2500,1,1008,1,1,395705,192502,588207
2500,2500,1,1008,1,2,349872,192524,542396
2500,2500,1,1008,1,3,369148,192503,561651
2500,2500,1,1008,1,4,349846,192521,542367
2500,2500,1,1008,1,5,356983,192510,549493
2500,2500,1,1008,1,6,361139,192528,553667
2500,2500,1,1008,1,7,357841,192496,550337
2500,2500,1,1008,1,8,361726,192497,554223
2500,2500,1,1008,1,9,350257,192520,542777
args: -sizex=2500 -sizey=2500 -iters=1008 -batch=10 -bsize=1
