grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,113770.3,512
2500,2500,1,1,597179.9,512
5000,5000,1,1,2456030.0,512
10000,10000,1,1,9365123.333333334,512
15000,15000,1,1,20813150.0,512
20000,20000,1,1,37492300.0,512
1000,1000,1,1,44214.6,1024
2500,2500,1,1,317726.3,1024
5000,5000,1,1,1373038.0,1024
10000,10000,1,1,5083626.666666667,1024
15000,15000,1,1,11180800.0,1024
20000,20000,1,1,19588500.0,1024
1000,1000,1,1,44213.2,2048
2500,2500,1,1,242050.5,2048
5000,5000,1,1,830749.4,2048
10000,10000,1,1,3407306.6666666665,2048
15000,15000,1,1,7021460.0,2048
20000,20000,1,1,13253800.0,2048
1000,1000,1,1,44222.7,4096
2500,2500,1,1,192506.4,4096
5000,5000,1,1,745664.8,4096
10000,10000,1,1,2680223.3333333335,4096
15000,15000,1,1,5983515.0,4096
20000,20000,1,1,10449800.0,4096
1000,1000,1,1,44190.6,8192
2500,2500,1,1,192512.4,8192
5000,5000,1,1,610191.0,8192
10000,10000,1,1,2484116.6666666665,8192
15000,15000,1,1,5271345.0,8192
20000,20000,1,1,9695260.0,8192
