grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
2500,2500,1,1008,1,0,367583,281128,648711
2500,2500,1,1008,1,1,381076,281107,662183
2500,2500,1,1008,1,2,377778,281131,658909
2500,2500,1,1008,1,3,380049,281113,661162
2500,2500,1,1008,1,4,376826,281116,657942
2500,2500,1,1008,1,5,377078,281121,658199
2500,2500,1,1008,1,6,368663,281132,649795
2500,2500,1,1008,1,7,374879,281140,656019
2500,2500,1,1008,1,8,376327,281115,657442
2500,2500,1,1008,1,9,388020,281120,669140
args: -sizex=2500 -sizey=2500 -iters=1008 -batch=10 -bsize=1
