grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,104531.6,512
2500,2500,1,1,522862.4,512
5000,5000,1,1,2247816.0,512
10000,10000,1,1,8670200.0,512
15000,15000,1,1,19173650.0,512
20000,20000,1,1,33971700.0,512
1000,1000,1,1,38865.7,1024
2500,2500,1,1,281122.3,1024
5000,5000,1,1,1201724.0,1024
10000,10000,1,1,4448870.0,1024
15000,15000,1,1,9783390.0,1024
20000,20000,1,1,17190800.0,1024
1000,1000,1,1,38832.1,2048
2500,2500,1,1,206067.0,2048
5000,5000,1,1,697400.6,2048
10000,10000,1,1,2789470.0,2048
15000,15000,1,1,5775795.0,2048
20000,20000,1,1,10533700.0,2048
1000,1000,1,1,38828.5,4096
2500,2500,1,1,124377.4,4096
5000,5000,1,1,534517.4,4096
10000,10000,1,1,1855366.6666666667,4096
15000,15000,1,1,3885060.0,4096
20000,20000,1,1,6853810.0,4096
1000,1000,1,1,38862.9,8192
2500,2500,1,1,124383.9,8192
5000,5000,1,1,378509.4,8192
10000,10000,1,1,1545246.6666666667,8192
15000,15000,1,1,3006455.0,8192
20000,20000,1,1,5587790.0,8192
