grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,11167.6,512
2500,2500,1,1,69066.5,512
5000,5000,1,1,273644.4,512
10000,10000,1,1,1102343.3333333333,512
15000,15000,1,1,2461585.0,512
20000,20000,1,1,4366220.0,512
1000,1000,1,1,9520.1,1024
2500,2500,1,1,60320.2,1024
5000,5000,1,1,249923.4,1024
10000,10000,1,1,994749.6666666666,1024
15000,15000,1,1,2196570.0,1024
20000,20000,1,1,3957670.0,1024
1000,1000,1,1,9371.0,2048
2500,2500,1,1,58058.2,2048
5000,5000,1,1,230553.6,2048
10000,10000,1,1,929929.3333333334,2048
15000,15000,1,1,2060310.0,2048
20000,20000,1,1,3696020.0,2048
1000,1000,1,1,9333.4,4096
2500,2500,1,1,54850.1,4096
5000,5000,1,1,227092.4,4096
10000,10000,1,1,899582.3333333334,4096
15000,15000,1,1,2012305.0,4096
20000,20000,1,1,3605080.0,4096
1000,1000,1,1,9334.9,8192
2500,2500,1,1,54844.9,8192
5000,5000,1,1,222789.8,8192
10000,10000,1,1,906257.6666666666,8192
15000,15000,1,1,2020575.0,8192
20000,20000,1,1,3600510.0,8192
