grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
1000,1000,1,1008,1,0,61880,44388,106268
1000,1000,1,1008,1,1,57734.5,44345,102080
1000,1000,1,1008,1,2,56827.6,44356,101184
1000,1000,1,1008,1,3,56376.5,44375,100751
1000,1000,1,1008,1,4,56898.1,44358,101256
1000,1000,1,1008,1,5,57293.2,44355,101648
1000,1000,1,1008,1,6,56189.6,44355,100545
1000,1000,1,1008,1,7,55892.9,44360,100253
1000,1000,1,1008,1,8,56313.7,44356,100670
1000,1000,1,1008,1,9,55928.9,44349,100278
args: -sizex=1000 -sizey=1000 -iters=1008 -batch=10 -bsize=1
