grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,81693.7,512
2500,2500,1,1,599902.9,512
5000,5000,1,1,2365106.0,512
10000,10000,1,1,9046706.666666666,512
15000,15000,1,1,20048400.0,512
20000,20000,1,1,35369200.0,512
1000,1000,1,1,44366.2,1024
2500,2500,1,1,335887.1,1024
5000,5000,1,1,1171472.0,1024
10000,10000,1,1,4682043.333333333,1024
15000,15000,1,1,10532650.0,1024
20000,20000,1,1,18723400.0,1024
1000,1000,1,1,44354.0,2048
2500,2500,1,1,242129.5,2048
5000,5000,1,1,797089.2,2048
10000,10000,1,1,2810736.6666666665,2048
15000,15000,1,1,6601780.0,2048
20000,20000,1,1,11585000.0,2048
1000,1000,1,1,44356.1,4096
2500,2500,1,1,148816.0,4096
5000,5000,1,1,619439.2,4096
10000,10000,1,1,2159383.3333333335,4096
15000,15000,1,1,4495755.0,4096
20000,20000,1,1,7915500.0,4096
1000,1000,1,1,44359.7,8192
2500,2500,1,1,148810.3,8192
5000,5000,1,1,433350.6,8192
10000,10000,1,1,1777656.6666666667,8192
15000,15000,1,1,3470950.0,8192
20000,20000,1,1,6466890.0,8192
